# wdd   tau_V= 9.75
      0.0100000      0.0000006
      0.0150000      0.0000006
      0.0220000      0.0000009
      0.0330000      0.0000017
      0.0490000      0.0000029
      0.0730000      0.0000024
      0.1000000      0.0000020
      0.1230000      0.0000015
      0.1510000      0.0000016
      0.1850000      0.0000029
      0.2270000      0.0000102
      0.2790000      0.0000141
      0.3430000      0.0000176
      0.4210000      0.0000267
      0.5170000      0.0000552
      0.5500000      0.0000721
      0.6350000      0.0001320
      0.7800000      0.0003159
      0.9580000      0.0006932
      1.1770000      0.0016372
      1.4450001      0.0045145
      1.7740000      0.0122105
      2.1789999      0.0299001
      2.6760001      0.0630297
      3.2860000      0.1143781
      4.0359998      0.1828812
      4.9559999      0.2694428
      6.0000000      0.3682692
      6.2500000      0.3928786
      6.5000000      0.4169271
      6.7500000      0.4418871
      7.0000000      0.4661058
      7.2500000      0.4990185
      7.5000000      0.5324519
      7.7500000      0.5651042
      8.0000000      0.5971155
      8.2500000      0.6190805
      8.5000000      0.6330729
      8.6000004      0.6370754
      8.6999998      0.6403005
      8.8000002      0.6427245
      8.8999996      0.6446795
      9.0000000      0.6461539
      9.1000004      0.6449480
      9.1999998      0.6439263
      9.3000002      0.6434737
      9.3999996      0.6432372
      9.5000000      0.6443712
      9.6000004      0.6542308
      9.6999998      0.6649320
      9.8000002      0.6784616
      9.8999996      0.6921274
     10.0000000      0.7067308
     10.1000004      0.7243190
     10.1999998      0.7421154
     10.3000002      0.7597076
     10.3999996      0.7775000
     10.5000000      0.7954928
     10.6000004      0.8136859
     10.6999998      0.8316507
     10.8000002      0.8502405
     10.8999996      0.8685937
     11.0000000      0.8871394
     11.1000004      0.9076564
     11.1999998      0.9283975
     11.3000002      0.9493631
     11.3999996      0.9710096
     11.5000000      0.9919672
     11.7500000      1.0375402
     12.0000000      1.0879807
     12.2500000      1.1391126
     12.5000000      1.1894031
     12.7500000      1.2392428
     13.0000000      1.2880210
     13.2500000      1.3377405
     13.5000000      1.3873198
     13.7500000      1.4355971
     14.0000000      1.4830129
     14.2500000      1.5368990
     14.5000000      1.5917468
     14.7500000      1.6487383
     15.0000000      1.7067310
     15.2500000      1.7687801
     15.5000000      1.8319311
     15.7500000      1.8968149
     16.0000000      1.9634619
     16.2500000      2.0312500
     16.5000000      2.1008413
     16.7500000      2.1715946
     17.0000000      2.2435098
     17.2500000      2.3158956
     17.5000000      2.3894231
     17.7500000      2.4640927
     18.0000000      2.5406249
     18.2500000      2.6161258
     18.5000000      2.6927285
     18.7500000      2.7704329
     19.0000000      2.8500001
     19.2500000      2.9276042
     19.5000000      3.0062499
     19.7500000      3.0851464
     20.0000000      3.1650643
     20.8799992      3.4507210
     25.6399994      5.0530119
     31.4799995      6.8824668
     38.6599998      8.2694616
     47.4799995      8.3965034
     58.3100014      7.1742797
     71.6100006      5.0666370
     87.9400024      3.0683875
    108.0000000      1.7394232
    132.6000061      0.9259688
    162.8999939      0.4389685
    200.0000000      0.2145032
    204.3000031      0.1996345
    303.8999939      0.0524763
    452.0000000      0.0144528
    672.2999878      0.0038787
   1000.0000000      0.0008542
