# wdd   tau_V= 2.50
      0.0100000      0.0000589
      0.0150000      0.0000996
      0.0220000      0.0001780
      0.0330000      0.0003460
      0.0490000      0.0006724
      0.0730000      0.0010868
      0.1000000      0.0015437
      0.1230000      0.0017317
      0.1510000      0.0020823
      0.1850000      0.0027943
      0.2270000      0.0044691
      0.2790000      0.0053989
      0.3430000      0.0055215
      0.4210000      0.0055998
      0.5170000      0.0064294
      0.5500000      0.0069014
      0.6350000      0.0081359
      0.7800000      0.0106500
      0.9580000      0.0132032
      1.1770000      0.0173862
      1.4450001      0.0278464
      1.7740000      0.0480458
      2.1789999      0.0827688
      2.6760001      0.1318702
      3.2860000      0.1879971
      4.0359998      0.2412545
      4.9559999      0.2968437
      6.0000000      0.3564904
      6.2500000      0.3710938
      6.5000000      0.3851563
      6.7500000      0.3999700
      7.0000000      0.4139423
      7.2500000      0.4470252
      7.5000000      0.4792669
      7.7500000      0.5110778
      8.0000000      0.5432693
      8.2500000      0.6121395
      8.5000000      0.6780249
      8.6000004      0.7042629
      8.6999998      0.7302284
      8.8000002      0.7569551
      8.8999996      0.7840986
      9.0000000      0.8116587
      9.1000004      0.8414585
      9.1999998      0.8706090
      9.3000002      0.8990746
      9.3999996      0.9268189
      9.5000000      0.9538062
      9.6000004      0.9723077
      9.6999998      0.9902084
      9.8000002      1.0063061
      9.8999996      1.0221273
     10.0000000      1.0376602
     10.1000004      1.0504649
     10.1999998      1.0633173
     10.3000002      1.0758053
     10.3999996      1.0879166
     10.5000000      1.1000601
     10.6000004      1.1122358
     10.6999998      1.1244432
     10.8000002      1.1366827
     10.8999996      1.1489543
     11.0000000      1.1612581
     11.1000004      1.1713703
     11.1999998      1.1814744
     11.3000002      1.1915708
     11.3999996      1.2062260
     11.5000000      1.2209536
     11.7500000      1.2347858
     12.0000000      1.2581731
     12.2500000      1.2824219
     12.5000000      1.3045875
     12.7500000      1.3250601
     13.0000000      1.3442709
     13.2500000      1.3701223
     13.5000000      1.3927284
     13.7500000      1.4124601
     14.0000000      1.4291668
     14.2500000      1.4746696
     14.5000000      1.5220352
     14.7500000      1.5695513
     15.0000000      1.6189904
     15.2500000      1.6832434
     15.5000000      1.7487180
     15.7500000      1.8166767
     16.0000000      1.8865385
     16.2500000      1.9622397
     16.5000000      2.0393629
     16.7500000      2.1172376
     17.0000000      2.1971955
     17.2500000      2.2751205
     17.5000000      2.3529649
     17.7500000      2.4313803
     18.0000000      2.5096157
     18.2500000      2.5773737
     18.5000000      2.6452928
     18.7500000      2.7118392
     19.0000000      2.7784457
     19.2500000      2.8304291
     19.5000000      2.8828123
     19.7500000      2.9340143
     20.0000000      2.9847755
     20.8799992      3.1453848
     25.6399994      3.9271524
     31.4799995      4.5870495
     38.6599998      4.7411165
     47.4799995      4.1868382
     58.3100014      3.1748116
     71.6100006      2.0269418
     87.9400024      1.1383580
    108.0000000      0.6148558
    132.6000061      0.3189094
    162.8999939      0.1512829
    200.0000000      0.0748077
    204.3000031      0.0696961
    303.8999939      0.0191520
    452.0000000      0.0057242
    672.2999878      0.0015768
   1000.0000000      0.0002321
