# wdd   tau_V= 0.50
      0.0100000      0.0001556
      0.0150000      0.0003008
      0.0220000      0.0005700
      0.0330000      0.0011328
      0.0490000      0.0022419
      0.0730000      0.0043022
      0.1000000      0.0070753
      0.1230000      0.0090377
      0.1510000      0.0112040
      0.1850000      0.0134896
      0.2270000      0.0169341
      0.2790000      0.0198184
      0.3430000      0.0194037
      0.4210000      0.0178453
      0.5170000      0.0177222
      0.5500000      0.0181262
      0.6350000      0.0192306
      0.7800000      0.0218750
      0.9580000      0.0238195
      1.1770000      0.0273926
      1.4450001      0.0383539
      1.7740000      0.0589557
      2.1789999      0.0930615
      2.6760001      0.1383029
      3.2860000      0.1839160
      4.0359998      0.2178082
      4.9559999      0.2456159
      6.0000000      0.2713942
      6.2500000      0.2774439
      6.5000000      0.2833334
      6.7500000      0.2893630
      7.0000000      0.2950321
      7.2500000      0.3055689
      7.5000000      0.3161058
      7.7500000      0.3263322
      8.0000000      0.3368590
      8.2500000      0.3582933
      8.5000000      0.3800481
      8.6000004      0.3886539
      8.6999998      0.3977043
      8.8000002      0.4068590
      8.8999996      0.4164744
      9.0000000      0.4262020
      9.1000004      0.4371355
      9.1999998      0.4478365
      9.3000002      0.4586659
      9.3999996      0.4692468
      9.5000000      0.4791867
      9.6000004      0.4861539
      9.6999998      0.4927725
      9.8000002      0.4986379
      9.8999996      0.5041226
     10.0000000      0.5096154
     10.1000004      0.5143070
     10.1999998      0.5185817
     10.3000002      0.5228406
     10.3999996      0.5270833
     10.5000000      0.5317308
     10.6000004      0.5359456
     10.6999998      0.5401443
     10.8000002      0.5447596
     10.8999996      0.5489302
     11.0000000      0.5535257
     11.1000004      0.5572236
     11.1999998      0.5608975
     11.3000002      0.5650000
     11.3999996      0.5700000
     11.5000000      0.5759215
     11.7500000      0.5818510
     12.0000000      0.5913462
     12.2500000      0.6007212
     12.5000000      0.6104768
     12.7500000      0.6196214
     13.0000000      0.6281251
     13.2500000      0.6391427
     13.5000000      0.6490385
     13.7500000      0.6583033
     14.0000000      0.6669071
     14.2500000      0.6845253
     14.5000000      0.7023438
     14.7500000      0.7209536
     15.0000000      0.7397837
     15.2500000      0.7631111
     15.5000000      0.7874199
     15.7500000      0.8114784
     16.0000000      0.8365386
     16.2500000      0.8639323
     16.5000000      0.8911059
     16.7500000      0.9186999
     17.0000000      0.9467148
     17.2500000      0.9744593
     17.5000000      1.0019032
     17.7500000      1.0290165
     18.0000000      1.0564905
     18.2500000      1.0799379
     18.5000000      1.1028848
     18.7500000      1.1260518
     19.0000000      1.1486781
     19.2500000      1.1661057
     19.5000000      1.1828126
     19.7500000      1.1995593
     20.0000000      1.2155449
     20.8799992      1.2656828
     25.6399994      1.4864216
     31.4799995      1.6458896
     38.6599998      1.6325178
     47.4799995      1.4137475
     58.3100014      1.0641109
     71.6100006      0.6742128
     87.9400024      0.3780434
    108.0000000      0.2070433
    132.6000061      0.1111375
    162.8999939      0.0570998
    200.0000000      0.0304647
    204.3000031      0.0285414
    303.8999939      0.0089940
    452.0000000      0.0031238
    672.2999878      0.0009010
   1000.0000000      0.0000499
