# wdd   tau_V= 6.00
      0.0100000      0.0000067
      0.0150000      0.0000094
      0.0220000      0.0000152
      0.0330000      0.0000286
      0.0490000      0.0000518
      0.0730000      0.0000588
      0.1000000      0.0000638
      0.1230000      0.0000586
      0.1510000      0.0000664
      0.1850000      0.0001001
      0.2270000      0.0002365
      0.2790000      0.0003112
      0.3430000      0.0003573
      0.4210000      0.0004483
      0.5170000      0.0006960
      0.5500000      0.0008248
      0.6350000      0.0012125
      0.7800000      0.0021384
      0.9580000      0.0034988
      1.1770000      0.0061161
      1.4450001      0.0127885
      1.7740000      0.0275837
      2.1789999      0.0564654
      2.6760001      0.1029981
      3.2860000      0.1650899
      4.0359998      0.2365652
      4.9559999      0.3184866
      6.0000000      0.4081731
      6.2500000      0.4301884
      6.5000000      0.4510417
      6.7500000      0.4732572
      7.0000000      0.4938703
      7.2500000      0.5350361
      7.5000000      0.5751203
      7.7500000      0.6138522
      8.0000000      0.6525642
      8.2500000      0.7146034
      8.5000000      0.7675882
      8.6000004      0.7869552
      8.6999998      0.8058653
      8.8000002      0.8239424
      8.8999996      0.8418630
      9.0000000      0.8596154
      9.1000004      0.8764585
      9.1999998      0.8927245
      9.3000002      0.9083895
      9.3999996      0.9238061
      9.5000000      0.9385819
      9.6000004      0.9550002
      9.6999998      0.9711660
      9.8000002      0.9882452
      9.8999996      1.0054687
     10.0000000      1.0228366
     10.1000004      1.0403485
     10.1999998      1.0580047
     10.3000002      1.0758053
     10.3999996      1.0933334
     10.5000000      1.1105770
     10.6000004      1.1279489
     10.6999998      1.1450201
     10.8000002      1.1626444
     10.8999996      1.1799600
     11.0000000      1.1973958
     11.1000004      1.2145073
     11.1999998      1.2321795
     11.3000002      1.2490666
     11.3999996      1.2692548
     11.5000000      1.2891428
     11.7500000      1.3214043
     12.0000000      1.3610578
     12.2500000      1.4007012
     12.5000000      1.4388021
     12.7500000      1.4752405
     13.0000000      1.5093751
     13.2500000      1.5479568
     13.5000000      1.5841949
     13.7500000      1.6179389
     14.0000000      1.6479168
     14.2500000      1.7007512
     14.5000000      1.7549881
     14.7500000      1.8100663
     15.0000000      1.8665867
     15.2500000      1.9343550
     15.5000000      2.0039465
     15.7500000      2.0753908
     16.0000000      2.1480770
     16.2500000      2.2252605
     16.5000000      2.3037863
     16.7500000      2.3829827
     17.0000000      2.4641826
     17.2500000      2.5432696
     17.5000000      2.6235979
     17.7500000      2.7044570
     18.0000000      2.7850962
     18.2500000      2.8603365
     18.5000000      2.9350965
     18.7500000      3.0100663
     19.0000000      3.0844553
     19.2500000      3.1504910
     19.5000000      3.2171874
     19.7500000      3.2829630
     20.0000000      3.3485577
     20.8799992      3.5711827
     25.6399994      4.7468929
     31.4799995      5.9567327
     38.6599998      6.6648235
     47.4799995      6.3611026
     58.3100014      5.1675372
     71.6100006      3.5001686
     87.9400024      2.0568659
    108.0000000      1.1444713
    132.6000061      0.6029688
    162.8999939      0.2852055
    200.0000000      0.1396635
    204.3000031      0.1299793
    303.8999939      0.0346027
    452.0000000      0.0097698
    672.2999878      0.0026434
   1000.0000000      0.0005192
