# wdd   tau_V= 6.50
      0.0100000      0.0000049
      0.0150000      0.0000066
      0.0220000      0.0000105
      0.0330000      0.0000197
      0.0490000      0.0000354
      0.0730000      0.0000383
      0.1000000      0.0000400
      0.1230000      0.0000358
      0.1510000      0.0000402
      0.1850000      0.0000617
      0.2270000      0.0001541
      0.2790000      0.0002047
      0.3430000      0.0002384
      0.4210000      0.0003077
      0.5170000      0.0004975
      0.5500000      0.0005980
      0.6350000      0.0009067
      0.7800000      0.0016678
      0.9580000      0.0028402
      1.1770000      0.0051682
      1.4450001      0.0112254
      1.7740000      0.0249682
      2.1789999      0.0523711
      2.6760001      0.0974124
      3.2860000      0.1587707
      4.0359998      0.2310675
      4.9559999      0.3149125
      6.0000000      0.4072116
      6.2500000      0.4296875
      6.5000000      0.4513021
      6.7500000      0.4740686
      7.0000000      0.4955529
      7.2500000      0.5361980
      7.5000000      0.5757211
      7.7500000      0.6141627
      8.0000000      0.6522437
      8.2500000      0.7096455
      8.5000000      0.7573718
      8.6000004      0.7748960
      8.6999998      0.7915745
      8.8000002      0.8073719
      8.8999996      0.8229648
      9.0000000      0.8379809
      9.1000004      0.8520314
      9.1999998      0.8658174
      9.3000002      0.8789544
      9.3999996      0.8917949
      9.5000000      0.9043270
      9.6000004      0.9196155
      9.6999998      0.9350241
      9.8000002      0.9517308
      9.8999996      0.9685817
     10.0000000      0.9855770
     10.1000004      1.0035257
     10.1999998      1.0216346
     10.3000002      1.0394913
     10.3999996      1.0570834
     10.5000000      1.0748197
     10.6000004      1.0922759
     10.6999998      1.1102965
     10.8000002      1.1275963
     10.8999996      1.1454607
     11.0000000      1.1630211
     11.1000004      1.1811540
     11.1999998      1.1994232
     11.3000002      1.2173759
     11.3999996      1.2372837
     11.5000000      1.2578126
     11.7500000      1.2922177
     12.0000000      1.3341346
     12.2500000      1.3756711
     12.5000000      1.4152645
     12.7500000      1.4537860
     13.0000000      1.4901042
     13.2500000      1.5304389
     13.5000000      1.5685097
     13.7500000      1.6041670
     14.0000000      1.6366988
     14.2500000      1.6893330
     14.5000000      1.7433695
     14.7500000      1.7988381
     15.0000000      1.8557695
     15.2500000      1.9227465
     15.5000000      1.9909058
     15.7500000      2.0615084
     16.0000000      2.1333337
     16.2500000      2.2089846
     16.5000000      2.2859375
     16.7500000      2.3641927
     17.0000000      2.4437501
     17.2500000      2.5218453
     17.5000000      2.6004612
     17.7500000      2.6802785
     18.0000000      2.7605772
     18.2500000      2.8354771
     18.5000000      2.9098961
     18.7500000      2.9852765
     19.0000000      3.0608575
     19.2500000      3.1281252
     19.5000000      3.1953125
     19.7500000      3.2631812
     20.0000000      3.3309295
     20.8799992      3.5611446
     25.6399994      4.7910643
     31.4799995      6.0815930
     38.6599998      6.8785682
     47.4799995      6.6293197
     58.3100014      5.4291849
     71.6100006      3.7038667
     87.9400024      2.1868734
    108.0000000      1.2201924
    132.6000061      0.6438751
    162.8999939      0.3047848
    200.0000000      0.1491987
    204.3000031      0.1389011
    303.8999939      0.0368795
    452.0000000      0.0103692
    672.2999878      0.0028012
   1000.0000000      0.0005621
