# wdd   tau_V= 5.00
      0.0100000      0.0000129
      0.0150000      0.0000190
      0.0220000      0.0000315
      0.0330000      0.0000598
      0.0490000      0.0001107
      0.0730000      0.0001386
      0.1000000      0.0001620
      0.1230000      0.0001575
      0.1510000      0.0001812
      0.1850000      0.0002635
      0.2270000      0.0005575
      0.2790000      0.0007180
      0.3430000      0.0007998
      0.4210000      0.0009467
      0.5170000      0.0013509
      0.5500000      0.0015572
      0.6350000      0.0021502
      0.7800000      0.0034812
      0.9580000      0.0052583
      1.1770000      0.0084644
      1.4450001      0.0164184
      1.7740000      0.0332696
      2.1789999      0.0648549
      2.6760001      0.1137515
      3.2860000      0.1764119
      4.0359998      0.2451353
      4.9559999      0.3218620
      6.0000000      0.4050481
      6.2500000      0.4254307
      6.5000000      0.4447917
      6.7500000      0.4654147
      7.0000000      0.4846154
      7.2500000      0.5257412
      7.5000000      0.5655048
      7.7500000      0.6045372
      8.0000000      0.6432693
      8.2500000      0.7129508
      8.5000000      0.7747396
      8.6000004      0.7979808
      8.6999998      0.8208534
      8.8000002      0.8433334
      8.8999996      0.8653967
      9.0000000      0.8877404
      9.1000004      0.9100001
      9.1999998      0.9317949
      9.3000002      0.9527285
      9.3999996      0.9727645
      9.5000000      0.9926283
      9.6000004      1.0103847
      9.6999998      1.0282934
      9.8000002      1.0459616
      9.8999996      1.0633774
     10.0000000      1.0813302
     10.1000004      1.0982132
     10.1999998      1.1152163
     10.3000002      1.1319271
     10.3999996      1.1487501
     10.5000000      1.1652645
     10.6000004      1.1814585
     10.6999998      1.1977484
     10.8000002      1.2145674
     10.8999996      1.2310537
     11.0000000      1.2471956
     11.1000004      1.2629809
     11.1999998      1.2788463
     11.3000002      1.2943391
     11.3999996      1.3135579
     11.5000000      1.3324521
     11.7500000      1.3595353
     12.0000000      1.3956732
     12.2500000      1.4316207
     12.5000000      1.4653447
     12.7500000      1.4977164
     13.0000000      1.5276043
     13.2500000      1.5628207
     13.5000000      1.5955529
     13.7500000      1.6256511
     14.0000000      1.6512823
     14.2500000      1.7041768
     14.5000000      1.7578926
     14.7500000      1.8124299
     15.0000000      1.8689904
     15.2500000      1.9380209
     15.5000000      2.0089145
     15.7500000      2.0823319
     16.0000000      2.1570516
     16.2500000      2.2363281
     16.5000000      2.3176684
     16.7500000      2.3997598
     17.0000000      2.4832532
     17.2500000      2.5653846
     17.5000000      2.6474359
     17.7500000      2.7300580
     18.0000000      2.8125000
     18.2500000      2.8873899
     18.5000000      2.9625204
     18.7500000      3.0371094
     19.0000000      3.1110981
     19.2500000      3.1743991
     19.5000000      3.2375002
     19.7500000      3.3003712
     20.0000000      3.3629808
     20.8799992      3.5703464
     25.6399994      4.6421142
     31.4799995      5.6969218
     38.6599998      6.2326860
     47.4799995      5.8265729
     58.3100014      4.6489148
     71.6100006      3.1013789
     87.9400024      1.8031930
    108.0000000      0.9956251
    132.6000061      0.5223781
    162.8999939      0.2470258
    200.0000000      0.1210737
    204.3000031      0.1127088
    303.8999939      0.0301587
    452.0000000      0.0086036
    672.2999878      0.0023355
   1000.0000000      0.0004359
