# wdd   tau_V= 9.25
      0.0100000      0.0000008
      0.0150000      0.0000009
      0.0220000      0.0000014
      0.0330000      0.0000025
      0.0490000      0.0000043
      0.0730000      0.0000036
      0.1000000      0.0000031
      0.1230000      0.0000024
      0.1510000      0.0000026
      0.1850000      0.0000045
      0.2270000      0.0000152
      0.2790000      0.0000210
      0.3430000      0.0000260
      0.4210000      0.0000386
      0.5170000      0.0000771
      0.5500000      0.0000996
      0.6350000      0.0001774
      0.7800000      0.0004087
      0.9580000      0.0008640
      1.1770000      0.0019631
      1.4450001      0.0052271
      1.7740000      0.0137386
      2.1789999      0.0328683
      2.6760001      0.0679614
      3.2860000      0.1213161
      4.0359998      0.1911279
      4.9559999      0.2781793
      6.0000000      0.3769231
      6.2500000      0.4011419
      6.5000000      0.4250001
      6.7500000      0.4497296
      7.0000000      0.4736780
      7.2500000      0.5080228
      7.5000000      0.5423679
      7.7500000      0.5762821
      8.0000000      0.6092949
      8.2500000      0.6369292
      8.5000000      0.6555489
      8.6000004      0.6611940
      8.6999998      0.6660938
      8.8000002      0.6705770
      8.8999996      0.6742749
      9.0000000      0.6775241
      9.1000004      0.6781250
      9.1999998      0.6789424
      9.3000002      0.6799881
      9.3999996      0.6812741
      9.5000000      0.6835738
      9.6000004      0.6942309
      9.6999998      0.7057373
      9.8000002      0.7196876
      9.8999996      0.7337741
     10.0000000      0.7487981
     10.1000004      0.7668070
     10.1999998      0.7846155
     10.3000002      0.8026242
     10.3999996      0.8204166
     10.5000000      0.8388221
     10.6000004      0.8565786
     10.6999998      0.8749480
     10.8000002      0.8930770
     10.8999996      0.9118270
     11.0000000      0.9303285
     11.1000004      0.9507934
     11.1999998      0.9714745
     11.3000002      0.9919192
     11.3999996      1.0134856
     11.5000000      1.0343550
     11.7500000      1.0789664
     12.0000000      1.1283653
     12.2500000      1.1783754
     12.5000000      1.2274640
     12.7500000      1.2755108
     13.0000000      1.3229169
     13.2500000      1.3711840
     13.5000000      1.4186900
     13.7500000      1.4653447
     14.0000000      1.5104970
     14.2500000      1.5643029
     14.5000000      1.6190505
     14.7500000      1.6759214
     15.0000000      1.7337742
     15.2500000      1.7962742
     15.5000000      1.8598759
     15.7500000      1.9258416
     16.0000000      1.9929488
     16.2500000      2.0618491
     16.5000000      2.1325722
     16.7500000      2.2038062
     17.0000000      2.2768831
     17.2500000      2.3497598
     17.5000000      2.4237781
     17.7500000      2.4996495
     18.0000000      2.5759616
     18.2500000      2.6519532
     18.5000000      2.7283056
     18.7500000      2.8057394
     19.0000000      2.8842549
     19.2500000      2.9607673
     19.5000000      3.0374999
     19.7500000      3.1152143
     20.0000000      3.1931090
     20.8799992      3.4699614
     25.6399994      5.0170584
     31.4799995      6.7651739
     38.6599998      8.0603628
     47.4799995      8.1263847
     58.3100014      6.9032884
     71.6100006      4.8514633
     87.9400024      2.9288671
    108.0000000      1.6567791
    132.6000061      0.8808126
    162.8999939      0.4174965
    200.0000000      0.2040064
    204.3000031      0.1898942
    303.8999939      0.0499803
    452.0000000      0.0137972
    672.2999878      0.0037063
   1000.0000000      0.0008073
