# wdd   tau_V= 2.25
      0.0100000      0.0000674
      0.0150000      0.0001161
      0.0220000      0.0002089
      0.0330000      0.0004072
      0.0490000      0.0007939
      0.0730000      0.0013135
      0.1000000      0.0019014
      0.1230000      0.0021678
      0.1510000      0.0026171
      0.1850000      0.0034680
      0.2270000      0.0053794
      0.2790000      0.0064698
      0.3430000      0.0065755
      0.4210000      0.0065798
      0.5170000      0.0074070
      0.5500000      0.0078996
      0.6350000      0.0091790
      0.7800000      0.0117875
      0.9580000      0.0143585
      1.1770000      0.0185792
      1.4450001      0.0292416
      1.7740000      0.0497161
      2.1789999      0.0846720
      2.6760001      0.1336928
      3.2860000      0.1887870
      4.0359998      0.2401226
      4.9559999      0.2924755
      6.0000000      0.3483173
      6.2500000      0.3620794
      6.5000000      0.3750000
      6.7500000      0.3891527
      7.0000000      0.4021635
      7.2500000      0.4333734
      7.5000000      0.4633414
      7.7500000      0.4930689
      8.0000000      0.5237180
      8.2500000      0.5890024
      8.5000000      0.6521434
      8.6000004      0.6770434
      8.6999998      0.7023438
      8.8000002      0.7280449
      8.8999996      0.7541467
      9.0000000      0.7810097
      9.1000004      0.8097398
      9.1999998      0.8381732
      9.3000002      0.8659136
      9.3999996      0.8933014
      9.5000000      0.9195514
      9.6000004      0.9373078
      9.6999998      0.9544553
      9.8000002      0.9697917
      9.8999996      0.9848437
     10.0000000      1.0000000
     10.1000004      1.0120232
     10.1999998      1.0236778
     10.3000002      1.0357772
     10.3999996      1.0470834
     10.5000000      1.0588342
     10.6000004      1.0701923
     10.6999998      1.0815746
     10.8000002      1.0929810
     10.8999996      1.1044111
     11.0000000      1.1158655
     11.1000004      1.1255651
     11.1999998      1.1348077
     11.3000002      1.1444873
     11.3999996      1.1582692
     11.5000000      1.1725762
     11.7500000      1.1848860
     12.0000000      1.2072116
     12.2500000      1.2299080
     12.5000000      1.2505008
     12.7500000      1.2704027
     13.0000000      1.2880210
     13.2500000      1.3127905
     13.5000000      1.3343151
     13.7500000      1.3535157
     14.0000000      1.3691509
     14.2500000      1.4130110
     14.5000000      1.4581330
     14.7500000      1.5045472
     15.0000000      1.5516827
     15.2500000      1.6135917
     15.5000000      1.6766829
     15.7500000      1.7422177
     16.0000000      1.8089746
     16.2500000      1.8821614
     16.5000000      1.9567308
     16.7500000      2.0320113
     17.0000000      2.1093352
     17.2500000      2.1838946
     17.5000000      2.2597156
     17.7500000      2.3353763
     18.0000000      2.4108176
     18.2500000      2.4764724
     18.5000000      2.5415268
     18.7500000      2.6059196
     19.0000000      2.6695917
     19.2500000      2.7201421
     19.5000000      2.7695312
     19.7500000      2.8192811
     20.0000000      2.8669870
     20.8799992      3.0207403
     25.6399994      3.7607391
     31.4799995      4.3739042
     38.6599998      4.4979424
     47.4799995      3.9509602
     58.3100014      2.9832485
     71.6100006      1.8964030
     87.9400024      1.0619037
    108.0000000      0.5724519
    132.6000061      0.2968625
    162.8999939      0.1411669
    200.0000000      0.0699679
    204.3000031      0.0651943
    303.8999939      0.0180319
    452.0000000      0.0054345
    672.2999878      0.0015014
   1000.0000000      0.0002112
