# wdd   tau_V= 3.50
      0.0100000      0.0000329
      0.0150000      0.0000523
      0.0220000      0.0000907
      0.0330000      0.0001744
      0.0490000      0.0003341
      0.0730000      0.0004911
      0.1000000      0.0006462
      0.1230000      0.0006810
      0.1510000      0.0008058
      0.1850000      0.0011310
      0.2270000      0.0020417
      0.2790000      0.0025150
      0.3430000      0.0026426
      0.4210000      0.0028320
      0.5170000      0.0035274
      0.5500000      0.0038914
      0.6350000      0.0048694
      0.7800000      0.0069031
      0.9580000      0.0092269
      1.1770000      0.0131422
      1.4450001      0.0226881
      1.7740000      0.0416563
      2.1789999      0.0751912
      2.6760001      0.1242582
      3.2860000      0.1831261
      4.0359998      0.2436800
      4.9559999      0.3097500
      6.0000000      0.3822115
      6.2500000      0.4001402
      6.5000000      0.4169271
      6.7500000      0.4351262
      7.0000000      0.4520834
      7.2500000      0.4914664
      7.5000000      0.5294471
      7.7500000      0.5666567
      8.0000000      0.6044872
      8.2500000      0.6812199
      8.5000000      0.7526042
      8.6000004      0.7804088
      8.6999998      0.8079568
      8.8000002      0.8359296
      8.8999996      0.8639705
      9.0000000      0.8924280
      9.1000004      0.9223959
      9.1999998      0.9513302
      9.3000002      0.9799281
      9.3999996      1.0074120
      9.5000000      1.0341146
      9.6000004      1.0538462
      9.6999998      1.0729849
      9.8000002      1.0911138
      9.8999996      1.1085938
     10.0000000      1.1262020
     10.1000004      1.1415105
     10.1999998      1.1564904
     10.3000002      1.1715425
     10.3999996      1.1862500
     10.5000000      1.2010217
     10.6000004      1.2154328
     10.6999998      1.2299000
     10.8000002      1.2439904
     10.8999996      1.2585657
     11.0000000      1.2731972
     11.1000004      1.2856611
     11.1999998      1.2981411
     11.3000002      1.3110899
     11.3999996      1.3277164
     11.5000000      1.3448920
     11.7500000      1.3637723
     12.0000000      1.3923078
     12.2500000      1.4213142
     12.5000000      1.4478165
     12.7500000      1.4731971
     13.0000000      1.4958335
     13.2500000      1.5256612
     13.5000000      1.5522839
     13.7500000      1.5755211
     14.0000000      1.5946316
     14.2500000      1.6448016
     14.5000000      1.6963141
     14.7500000      1.7486078
     15.0000000      1.8028848
     15.2500000      1.8720354
     15.5000000      1.9424680
     15.7500000      2.0154448
     16.0000000      2.0903847
     16.2500000      2.1712241
     16.5000000      2.2535458
     16.7500000      2.3373501
     17.0000000      2.4219553
     17.2500000      2.5045676
     17.5000000      2.5878406
     17.7500000      2.6710339
     18.0000000      2.7540867
     18.2500000      2.8274341
     18.5000000      2.9002607
     18.7500000      2.9725060
     19.0000000      3.0441110
     19.2500000      3.1019032
     19.5000000      3.1593752
     19.7500000      3.2164969
     20.0000000      3.2732372
     20.8799992      3.4549038
     25.6399994      4.3606486
     31.4799995      5.1772995
     38.6599998      5.4613452
     47.4799995      4.9249086
     58.3100014      3.8055687
     71.6100006      2.4719224
     87.9400024      1.4068289
    108.0000000      0.7662982
    132.6000061      0.3985969
    162.8999939      0.1883531
    200.0000000      0.0925481
    204.3000031      0.0861891
    303.8999939      0.0232917
    452.0000000      0.0067872
    672.2999878      0.0018542
   1000.0000000      0.0003104
