# wdd   tau_V= 5.25
      0.0100000      0.0000110
      0.0150000      0.0000159
      0.0220000      0.0000263
      0.0330000      0.0000498
      0.0490000      0.0000917
      0.0730000      0.0001119
      0.1000000      0.0001284
      0.1230000      0.0001231
      0.1510000      0.0001410
      0.1850000      0.0002069
      0.2270000      0.0004500
      0.2790000      0.0005828
      0.3430000      0.0006544
      0.4210000      0.0007862
      0.5170000      0.0011459
      0.5500000      0.0013300
      0.6350000      0.0018658
      0.7800000      0.0030862
      0.9580000      0.0047555
      1.1770000      0.0078137
      1.4450001      0.0154458
      1.7740000      0.0317984
      2.1789999      0.0627510
      2.6760001      0.1111784
      3.2860000      0.1737789
      4.0359998      0.2433566
      4.9559999      0.3214649
      6.0000000      0.4067308
      6.2500000      0.4274339
      6.5000000      0.4471354
      6.7500000      0.4681190
      7.0000000      0.4877003
      7.2500000      0.5292268
      7.5000000      0.5691106
      7.7500000      0.6079528
      8.0000000      0.6471155
      8.2500000      0.7149339
      8.5000000      0.7747396
      8.6000004      0.7972918
      8.6999998      0.8191106
      8.8000002      0.8405129
      8.8999996      0.8618309
      9.0000000      0.8826924
      9.1000004      0.9038022
      9.1999998      0.9240546
      9.3000002      0.9437862
      9.3999996      0.9629728
      9.5000000      0.9815907
      9.6000004      0.9988464
      9.6999998      1.0162461
      9.8000002      1.0337901
      9.8999996      1.0514783
     10.0000000      1.0693110
     10.1000004      1.0864785
     10.1999998      1.1033655
     10.3000002      1.1203727
     10.3999996      1.1375000
     10.5000000      1.1543270
     10.6000004      1.1708416
     10.6999998      1.1874601
     10.8000002      1.2041827
     10.8999996      1.2210096
     11.0000000      1.2375002
     11.1000004      1.2536420
     11.1999998      1.2698718
     11.3000002      1.2861900
     11.3999996      1.3053367
     11.5000000      1.3246194
     11.7500000      1.3529449
     12.0000000      1.3899038
     12.2500000      1.4267126
     12.5000000      1.4618391
     12.7500000      1.4951624
     13.0000000      1.5260419
     13.2500000      1.5622897
     13.5000000      1.5960939
     13.7500000      1.6267530
     14.0000000      1.6535259
     14.2500000      1.7064605
     14.5000000      1.7602165
     14.7500000      1.8153849
     15.0000000      1.8713944
     15.2500000      1.9404647
     15.5000000      2.0113986
     15.7500000      2.0835938
     16.0000000      2.1576924
     16.2500000      2.2369792
     16.5000000      2.3176684
     16.7500000      2.3990886
     17.0000000      2.4825721
     17.2500000      2.5633118
     17.5000000      2.6446316
     17.7500000      2.7272136
     18.0000000      2.8096159
     18.2500000      2.8844652
     18.5000000      2.9595554
     18.7500000      3.0341048
     19.0000000      3.1080534
     19.2500000      3.1720858
     19.5000000      3.2359376
     19.7500000      3.2995796
     20.0000000      3.3629808
     20.8799992      3.5745289
     25.6399994      4.6719041
     31.4799995      5.7637663
     38.6599998      6.3426566
     47.4799995      5.9616318
     58.3100014      4.7774024
     71.6100006      3.2017932
     87.9400024      1.8659067
    108.0000000      1.0324039
    132.6000061      0.5424064
    162.8999939      0.2564239
    200.0000000      0.1256410
    204.3000031      0.1169650
    303.8999939      0.0312545
    452.0000000      0.0088915
    672.2999878      0.0024115
   1000.0000000      0.0004567
