# wdd   tau_V= 3.75
      0.0100000      0.0000283
      0.0150000      0.0000443
      0.0220000      0.0000762
      0.0330000      0.0001462
      0.0490000      0.0002790
      0.0730000      0.0004007
      0.1000000      0.0005172
      0.1230000      0.0005371
      0.1510000      0.0006328
      0.1850000      0.0008983
      0.2270000      0.0016707
      0.2790000      0.0020679
      0.3430000      0.0021877
      0.4210000      0.0023766
      0.5170000      0.0030200
      0.5500000      0.0033538
      0.6350000      0.0042588
      0.7800000      0.0061656
      0.9580000      0.0083940
      1.1770000      0.0121944
      1.4450001      0.0214550
      1.7740000      0.0400145
      2.1789999      0.0730960
      2.6760001      0.1218995
      3.2860000      0.1812829
      4.0359998      0.2431949
      4.9559999      0.3117356
      6.0000000      0.3870192
      6.2500000      0.4053987
      6.5000000      0.4229167
      6.7500000      0.4418871
      7.0000000      0.4593750
      7.2500000      0.4995994
      7.5000000      0.5387620
      7.7500000      0.5769030
      8.0000000      0.6153847
      8.2500000      0.6931190
      8.5000000      0.7645233
      8.6000004      0.7921235
      8.6999998      0.8198077
      8.8000002      0.8475642
      8.8999996      0.8753806
      9.0000000      0.9032452
      9.1000004      0.9326044
      9.1999998      0.9609135
      9.3000002      0.9888703
      9.3999996      1.0156971
      9.5000000      1.0417268
      9.6000004      1.0615386
      9.6999998      1.0811460
      9.8000002      1.0993590
      9.8999996      1.1173196
     10.0000000      1.1350162
     10.1000004      1.1508174
     10.1999998      1.1662980
     10.3000002      1.1818590
     10.3999996      1.1970834
     10.5000000      1.2119592
     10.6000004      1.2268990
     10.6999998      1.2419032
     10.8000002      1.2569711
     10.8999996      1.2716668
     11.0000000      1.2868589
     11.1000004      1.2998919
     11.1999998      1.3129489
     11.3000002      1.3260298
     11.3999996      1.3432453
     11.5000000      1.3610177
     11.7500000      1.3811899
     12.0000000      1.4110577
     12.2500000      1.4409455
     12.5000000      1.4688503
     12.7500000      1.4951624
     13.0000000      1.5192710
     13.2500000      1.5495495
     13.5000000      1.5766227
     13.7500000      1.6008615
     14.0000000      1.6209939
     14.2500000      1.6716348
     14.5000000      1.7241987
     14.7500000      1.7769734
     15.0000000      1.8317308
     15.2500000      1.9013623
     15.5000000      1.9728968
     15.7500000      2.0463641
     16.0000000      2.1217949
     16.2500000      2.2024739
     16.5000000      2.2852764
     16.7500000      2.3688903
     17.0000000      2.4546475
     17.2500000      2.5377405
     17.5000000      2.6207936
     17.7500000      2.7044570
     18.0000000      2.7879810
     18.2500000      2.8617990
     18.5000000      2.9350965
     18.7500000      3.0078127
     19.0000000      3.0806494
     19.2500000      3.1389225
     19.5000000      3.1976564
     19.7500000      3.2560601
     20.0000000      3.3133016
     20.8799992      3.4992406
     25.6399994      4.4305019
     31.4799995      5.2819810
     38.6599998      5.5991950
     47.4799995      5.0770884
     58.3100014      3.9410648
     71.6100006      2.5706155
     87.9400024      1.4677806
    108.0000000      0.8009136
    132.6000061      0.4171376
    162.8999939      0.1969680
    200.0000000      0.0967147
    204.3000031      0.0900361
    303.8999939      0.0242779
    452.0000000      0.0070390
    672.2999878      0.0019199
   1000.0000000      0.0003291
