# wdd   tau_V= 2.75
      0.0100000      0.0000512
      0.0150000      0.0000852
      0.0220000      0.0001511
      0.0330000      0.0002928
      0.0490000      0.0005673
      0.0730000      0.0008958
      0.1000000      0.0012484
      0.1230000      0.0013783
      0.1510000      0.0016510
      0.1850000      0.0022413
      0.2270000      0.0036960
      0.2790000      0.0044857
      0.3430000      0.0046187
      0.4210000      0.0047464
      0.5170000      0.0055615
      0.5500000      0.0060112
      0.6350000      0.0071895
      0.7800000      0.0095969
      0.9580000      0.0121132
      1.1770000      0.0162545
      1.4450001      0.0264975
      1.7740000      0.0464111
      2.1789999      0.0808919
      2.6760001      0.1300476
      3.2860000      0.1870756
      4.0359998      0.2423864
      4.9559999      0.3008149
      6.0000000      0.3639423
      6.2500000      0.3793570
      6.5000000      0.3942709
      6.7500000      0.4102464
      7.0000000      0.4248798
      7.2500000      0.4598057
      7.5000000      0.4936899
      7.7500000      0.5272236
      8.0000000      0.5612180
      8.2500000      0.6329628
      8.5000000      0.7011819
      8.6000004      0.7280369
      8.6999998      0.7549760
      8.8000002      0.7823398
      8.8999996      0.8101283
      9.0000000      0.8379809
      9.1000004      0.8684376
      9.1999998      0.8978847
      9.3000002      0.9270193
      9.3999996      0.9550642
      9.5000000      0.9823519
      9.6000004      1.0011541
      9.6999998      1.0197437
      9.8000002      1.0361459
      9.8999996      1.0526682
     10.0000000      1.0693110
     10.1000004      1.0824320
     10.1999998      1.0960097
     10.3000002      1.1092308
     10.3999996      1.1220834
     10.5000000      1.1349760
     10.6000004      1.1479088
     10.6999998      1.1604527
     10.8000002      1.1734617
     10.8999996      1.1860739
     11.0000000      1.1991587
     11.1000004      1.2096156
     11.1999998      1.2205130
     11.3000002      1.2314104
     11.3999996      1.2468752
     11.5000000      1.2624199
     11.7500000      1.2771536
     12.0000000      1.3019232
     12.2500000      1.3275741
     12.5000000      1.3506612
     12.7500000      1.3725662
     13.0000000      1.3927084
     13.2500000      1.4194913
     13.5000000      1.4430289
     13.7500000      1.4636922
     14.0000000      1.4807693
     14.2500000      1.5283355
     14.5000000      1.5766426
     14.7500000      1.6262821
     15.0000000      1.6772838
     15.2500000      1.7431190
     15.5000000      1.8108174
     15.7500000      1.8804088
     16.0000000      1.9519234
     16.2500000      2.0299480
     16.5000000      2.1087742
     16.7500000      2.1890423
     17.0000000      2.2714343
     17.2500000      2.3504508
     17.5000000      2.4300883
     17.7500000      2.5103164
     18.0000000      2.5911062
     18.2500000      2.6607270
     18.5000000      2.7305291
     18.7500000      2.7989786
     19.0000000      2.8667469
     19.2500000      2.9214346
     19.5000000      2.9750001
     19.7500000      3.0281751
     20.0000000      3.0809295
     20.8799992      3.2474425
     25.6399994      4.0648031
     31.4799995      4.7674041
     38.6599998      4.9517641
     47.4799995      4.3960848
     58.3100014      3.3500221
     71.6100006      2.1480131
     87.9400024      1.2105843
    108.0000000      0.6550962
    132.6000061      0.3400000
    162.8999939      0.1610726
    200.0000000      0.0794711
    204.3000031      0.0740260
    303.8999939      0.0202478
    452.0000000      0.0060031
    672.2999878      0.0016498
   1000.0000000      0.0002523
