# wdd   tau_V= 0.00
      0.0100000      0.0001873
      0.0150000      0.0003740
      0.0220000      0.0007185
      0.0330000      0.0014358
      0.0490000      0.0028426
      0.0730000      0.0056329
      0.1000000      0.0095473
      0.1230000      0.0125907
      0.1510000      0.0157050
      0.1850000      0.0182851
      0.2270000      0.0217360
      0.2790000      0.0253291
      0.3430000      0.0246669
      0.4210000      0.0223150
      0.5170000      0.0215624
      0.5500000      0.0218413
      0.6350000      0.0227058
      0.7800000      0.0251344
      0.9580000      0.0266712
      1.1770000      0.0298211
      1.4450001      0.0405422
      1.7740000      0.0606899
      2.1789999      0.0939345
      2.6760001      0.1373380
      3.2860000      0.1795715
      4.0359998      0.2079446
      4.9559999      0.2283414
      6.0000000      0.2449519
      6.2500000      0.2486478
      6.5000000      0.2522656
      6.7500000      0.2557752
      7.0000000      0.2591907
      7.2500000      0.2625802
      7.5000000      0.2658654
      7.7500000      0.2690765
      8.0000000      0.2722757
      8.2500000      0.2755289
      8.5000000      0.2788722
      8.6000004      0.2802236
      8.6999998      0.2816346
      8.8000002      0.2830385
      8.8999996      0.2845076
      9.0000000      0.2859736
      9.1000004      0.2874375
      9.1999998      0.2889375
      9.3000002      0.2904760
      9.3999996      0.2920177
      9.5000000      0.2936018
      9.6000004      0.2951539
      9.6999998      0.2967905
      9.8000002      0.2983975
      9.8999996      0.3000541
     10.0000000      0.3017228
     10.1000004      0.3034047
     10.1999998      0.3051010
     10.3000002      0.3068129
     10.3999996      0.3085417
     10.5000000      0.3102885
     10.6000004      0.3120545
     10.6999998      0.3138410
     10.8000002      0.3156491
     10.8999996      0.3174800
     11.0000000      0.3193350
     11.1000004      0.3211707
     11.1999998      0.3230321
     11.3000002      0.3249203
     11.3999996      0.3268366
     11.5000000      0.3287360
     11.7500000      0.3336228
     12.0000000      0.3386058
     12.2500000      0.3436478
     12.5000000      0.3488081
     12.7500000      0.3540475
     13.0000000      0.3592709
     13.2500000      0.3645343
     13.5000000      0.3697897
     13.7500000      0.3750401
     14.0000000      0.3802885
     14.2500000      0.3854808
     14.5000000      0.3906170
     14.7500000      0.3956380
     15.0000000      0.4004808
     15.2500000      0.4051393
     15.5000000      0.4094211
     15.7500000      0.4133744
     16.0000000      0.4170513
     16.2500000      0.4203776
     16.5000000      0.4234075
     16.7500000      0.4262660
     17.0000000      0.4288141
     17.2500000      0.4311118
     17.5000000      0.4332232
     17.7500000      0.4351453
     18.0000000      0.4368030
     18.2500000      0.4383364
     18.5000000      0.4396715
     18.7500000      0.4408053
     19.0000000      0.4418109
     19.2500000      0.4426112
     19.5000000      0.4432813
     19.7500000      0.4438212
     20.0000000      0.4441506
     20.8799992      0.4444529
     25.6399994      0.4281552
     31.4799995      0.4131750
     38.6599998      0.3996106
     47.4799995      0.3829216
     58.3100014      0.3263585
     71.6100006      0.2266502
     87.9400024      0.1371244
    108.0000000      0.0820385
    132.6000061      0.0490291
    162.8999939      0.0294212
    200.0000000      0.0175962
    204.3000031      0.0166157
    303.8999939      0.0060853
    452.0000000      0.0023813
    672.2999878      0.0007084
   1000.0000000      0.0000000
