# wdd   tau_V= 1.50
      0.0100000      0.0000995
      0.0150000      0.0001799
      0.0220000      0.0003312
      0.0330000      0.0006510
      0.0490000      0.0012800
      0.0730000      0.0022672
      0.1000000      0.0034736
      0.1230000      0.0041557
      0.1510000      0.0050793
      0.1850000      0.0064794
      0.2270000      0.0091673
      0.2790000      0.0108794
      0.3430000      0.0108534
      0.4210000      0.0104440
      0.5170000      0.0110981
      0.5500000      0.0116104
      0.6350000      0.0129391
      0.7800000      0.0157156
      0.9580000      0.0181813
      1.1770000      0.0222998
      1.4450001      0.0333114
      1.7740000      0.0541582
      2.1789999      0.0892203
      2.6760001      0.1371236
      3.2860000      0.1887870
      4.0359998      0.2330078
      4.9559999      0.2753995
      6.0000000      0.3192308
      6.2500000      0.3297777
      6.5000000      0.3401042
      6.7500000      0.3510216
      7.0000000      0.3612180
      7.2500000      0.3845754
      7.5000000      0.4074520
      7.7500000      0.4303486
      8.0000000      0.4535257
      8.2500000      0.5043870
      8.5000000      0.5544071
      8.6000004      0.5743671
      8.6999998      0.5946394
      8.8000002      0.6155769
      8.8999996      0.6368349
      9.0000000      0.6587740
      9.1000004      0.6828647
      9.1999998      0.7065865
      9.3000002      0.7299159
      9.3999996      0.7528286
      9.5000000      0.7749200
      9.6000004      0.7892309
      9.6999998      0.8032813
      9.8000002      0.8154888
      9.8999996      0.8277764
     10.0000000      0.8397436
     10.1000004      0.8489504
     10.1999998      0.8581731
     10.3000002      0.8669992
     10.3999996      0.8758333
     10.5000000      0.8846755
     10.6000004      0.8935257
     10.6999998      0.9023838
     10.8000002      0.9116828
     10.8999996      0.9205610
     11.0000000      0.9294472
     11.1000004      0.9365627
     11.1999998      0.9441026
     11.3000002      0.9511739
     11.3999996      0.9623318
     11.5000000      0.9735377
     11.7500000      0.9829327
     12.0000000      1.0004809
     12.2500000      1.0183794
     12.5000000      1.0351562
     12.7500000      1.0507512
     13.0000000      1.0651042
     13.2500000      1.0850562
     13.5000000      1.1033654
     13.7500000      1.1188402
     14.0000000      1.1318910
     14.2500000      1.1675181
     14.5000000      1.2048477
     14.7500000      1.2427584
     15.0000000      1.2818511
     15.2500000      1.3319311
     15.5000000      1.3841947
     15.7500000      1.4380710
     16.0000000      1.4929488
     16.2500000      1.5527345
     16.5000000      1.6136419
     16.7500000      1.6763421
     17.0000000      1.7401843
     17.2500000      1.8017130
     17.5000000      1.8635818
     17.7500000      1.9257613
     18.0000000      1.9882214
     18.2500000      2.0421576
     18.5000000      2.0953326
     18.7500000      2.1484377
     19.0000000      2.1999202
     19.2500000      2.2412059
     19.5000000      2.2812500
     19.7500000      2.3207834
     20.0000000      2.3597755
     20.8799992      2.4811733
     25.6399994      3.0550227
     31.4799995      3.5049248
     38.6599998      3.5500293
     47.4799995      3.0759280
     58.3100014      2.2950222
     71.6100006      1.4445367
     87.9400024      0.8029459
    108.0000000      0.4317837
    132.6000061      0.2244000
    162.8999939      0.1080126
    200.0000000      0.0543109
    204.3000031      0.0506657
    303.8999939      0.0144279
    452.0000000      0.0045109
    672.2999878      0.0012608
   1000.0000000      0.0001455
