# wdd   tau_V= 4.25
      0.0100000      0.0000207
      0.0150000      0.0000318
      0.0220000      0.0000540
      0.0330000      0.0001032
      0.0490000      0.0001937
      0.0730000      0.0002615
      0.1000000      0.0003237
      0.1230000      0.0003284
      0.1510000      0.0003828
      0.1850000      0.0005424
      0.2270000      0.0010550
      0.2790000      0.0013346
      0.3430000      0.0014525
      0.4210000      0.0016434
      0.5170000      0.0021977
      0.5500000      0.0024812
      0.6350000      0.0032666
      0.7800000      0.0049625
      0.9580000      0.0070545
      1.1770000      0.0106901
      1.4450001      0.0195793
      1.7740000      0.0378397
      2.1789999      0.0711143
      2.6760001      0.1212563
      3.2860000      0.1832577
      4.0359998      0.2486926
      4.9559999      0.3200750
      6.0000000      0.3973557
      6.2500000      0.4161659
      6.5000000      0.4341146
      6.7500000      0.4532453
      7.0000000      0.4711539
      7.2500000      0.5112180
      7.5000000      0.5498798
      7.7500000      0.5877705
      8.0000000      0.6259616
      8.2500000      0.6990685
      8.5000000      0.7652043
      8.6000004      0.7904007
      8.6999998      0.8156250
      8.8000002      0.8405129
      8.8999996      0.8657532
      9.0000000      0.8906250
      9.1000004      0.9165626
      9.1999998      0.9417468
      9.3000002      0.9661419
      9.3999996      0.9900882
      9.5000000      1.0128005
      9.6000004      1.0315387
      9.6999998      1.0500562
      9.8000002      1.0679488
      9.8999996      1.0855889
     10.0000000      1.1033654
     10.1000004      1.1192548
     10.1999998      1.1352403
     10.3000002      1.1513222
     10.3999996      1.1670833
     10.5000000      1.1825120
     10.6000004      1.1980209
     10.6999998      1.2136098
     10.8000002      1.2292790
     10.8999996      1.2450281
     11.0000000      1.2604169
     11.1000004      1.2745434
     11.1999998      1.2891667
     11.3000002      1.3033935
     11.3999996      1.3213221
     11.5000000      1.3398238
     11.7500000      1.3633014
     12.0000000      1.3956732
     12.2500000      1.4286759
     12.5000000      1.4593350
     12.7500000      1.4885217
     13.0000000      1.5151043
     13.2500000      1.5479568
     13.5000000      1.5782452
     13.7500000      1.6052685
     14.0000000      1.6282855
     14.2500000      1.6801983
     14.5000000      1.7334937
     14.7500000      1.7876102
     15.0000000      1.8431491
     15.2500000      1.9129709
     15.5000000      1.9846954
     15.7500000      2.0583534
     16.0000000      2.1339743
     16.2500000      2.2148438
     16.5000000      2.2971754
     16.7500000      2.3809698
     17.0000000      2.4655447
     17.2500000      2.5487986
     17.5000000      2.6320114
     17.7500000      2.7158356
     18.0000000      2.7995195
     18.2500000      2.8742287
     18.5000000      2.9484377
     18.7500000      3.0220852
     19.0000000      3.0958736
     19.2500000      3.1574321
     19.5000000      3.2179689
     19.7500000      3.2790067
     20.0000000      3.3381410
     20.8799992      3.5352116
     25.6399994      4.5311718
     31.4799995      5.4736857
     38.6599998      5.8872867
     47.4799995      5.4118829
     58.3100014      4.2564435
     71.6100006      2.8052988
     87.9400024      1.6150519
    108.0000000      0.8861539
    132.6000061      0.4632500
    162.8999939      0.2190274
    200.0000000      0.1074519
    204.3000031      0.1001037
    303.8999939      0.0269078
    452.0000000      0.0077525
    672.2999878      0.0021109
   1000.0000000      0.0003750
