# dog   tau_V= 9.00
      0.0100000      0.0000011
      0.0150000      0.0000012
      0.0220000      0.0000018
      0.0330000      0.0000033
      0.0490000      0.0000058
      0.0730000      0.0000054
      0.1000000      0.0000049
      0.1230000      0.0000037
      0.1510000      0.0000041
      0.1850000      0.0000076
      0.2270000      0.0000255
      0.2790000      0.0000337
      0.3430000      0.0000394
      0.4210000      0.0000547
      0.5170000      0.0001021
      0.5500000      0.0001292
      0.6350000      0.0002197
      0.7800000      0.0004725
      0.9580000      0.0009189
      1.1770000      0.0019838
      1.4450001      0.0060150
      1.7740000      0.0209383
      2.1789999      0.0626550
      2.6760001      0.1488096
      3.2860000      0.2887099
      4.0359998      0.4747474
      4.9559999      0.6844284
      6.0000000      0.8759615
      6.2500000      0.9164664
      6.5000000      0.9536458
      6.7500000      0.9914064
      7.0000000      1.0227965
      7.2500000      1.0895332
      7.5000000      1.1499400
      7.7500000      1.2050382
      8.0000000      1.2580129
      8.2500000      1.3264123
      8.5000000      1.3713744
      8.6000004      1.3854407
      8.6999998      1.3980650
      8.8000002      1.4091988
      8.8999996      1.4195071
      9.0000000      1.4286059
      9.1000004      1.4350001
      9.1999998      1.4411861
      9.3000002      1.4471636
      9.3999996      1.4533094
      9.5000000      1.4603969
      9.6000004      1.4746155
      9.6999998      1.4895875
      9.8000002      1.5065145
      9.8999996      1.5234734
     10.0000000      1.5404648
     10.1000004      1.5595113
     10.1999998      1.5778126
     10.3000002      1.5961699
     10.3999996      1.6137501
     10.5000000      1.6305289
     10.6000004      1.6473320
     10.6999998      1.6633013
     10.8000002      1.6792791
     10.8999996      1.6948278
     11.0000000      1.7099360
     11.1000004      1.7254810
     11.1999998      1.7405771
     11.3000002      1.7556653
     11.3999996      1.7716588
     11.5000000      1.7871997
     11.7500000      1.8114585
     12.0000000      1.8394232
     12.2500000      1.8659656
     12.5000000      1.8885218
     12.7500000      1.9084135
     13.0000000      1.9239585
     13.2500000      1.9418470
     13.5000000      1.9563102
     13.7500000      1.9671979
     14.0000000      1.9749202
     14.2500000      1.9987681
     14.5000000      2.0239584
     14.7500000      2.0482173
     15.0000000      2.0721154
     15.2500000      2.1035957
     15.5000000      2.1349761
     15.7500000      2.1675181
     16.0000000      2.2000000
     16.2500000      2.2343750
     16.5000000      2.2694113
     16.7500000      2.3037965
     17.0000000      2.3381813
     17.2500000      2.3704929
     17.5000000      2.4027448
     17.7500000      2.4342248
     18.0000000      2.4656253
     18.2500000      2.4910958
     18.5000000      2.5163267
     18.7500000      2.5413160
     19.0000000      2.5660660
     19.2500000      2.5836341
     19.5000000      2.6015625
     19.7500000      2.6182997
     20.0000000      2.6346152
     20.8799992      2.6836157
     25.6399994      2.8978541
     31.4799995      3.0988126
     38.6599998      3.2201183
     47.4799995      3.0987546
     58.3100014      2.7636514
     71.6100006      2.2145739
     87.9400024      1.5389502
    108.0000000      0.9718270
    132.6000061      0.5774689
    162.8999939      0.3048501
    200.0000000      0.1616987
    204.3000031      0.1515061
    303.8999939      0.0437100
    452.0000000      0.0121783
    672.2999878      0.0033211
   1000.0000000      0.0007644
