# dog   tau_V= 3.25
      0.0100000      0.0000349
      0.0150000      0.0000565
      0.0220000      0.0000987
      0.0330000      0.0001904
      0.0490000      0.0003663
      0.0730000      0.0005528
      0.1000000      0.0007428
      0.1230000      0.0007963
      0.1510000      0.0009462
      0.1850000      0.0013112
      0.2270000      0.0022846
      0.2790000      0.0028034
      0.3430000      0.0029270
      0.4210000      0.0030917
      0.5170000      0.0037656
      0.5500000      0.0041206
      0.6350000      0.0050678
      0.7800000      0.0070031
      0.9580000      0.0090580
      1.1770000      0.0127178
      1.4450001      0.0239502
      1.7740000      0.0554517
      2.1789999      0.1211720
      2.6760001      0.2254659
      3.2860000      0.3603278
      4.0359998      0.5083807
      4.9559999      0.6522620
      6.0000000      0.7677885
      6.2500000      0.7915164
      6.5000000      0.8122396
      6.7500000      0.8350962
      7.0000000      0.8506010
      7.2500000      0.9199019
      7.5000000      0.9813702
      7.7500000      1.0367490
      8.0000000      1.0916667
      8.2500000      1.2246094
      8.5000000      1.3362981
      8.6000004      1.3761380
      8.6999998      1.4154928
      8.8000002      1.4532694
      8.8999996      1.4904648
      9.0000000      1.5263222
      9.1000004      1.5651566
      9.1999998      1.6007855
      9.3000002      1.6338342
      9.3999996      1.6645836
      9.5000000      1.6921875
      9.6000004      1.7053847
      9.6999998      1.7169312
      9.8000002      1.7252084
      9.8999996      1.7328966
     10.0000000      1.7399840
     10.1000004      1.7420073
     10.1999998      1.7441347
     10.3000002      1.7455530
     10.3999996      1.7466668
     10.5000000      1.7470554
     10.6000004      1.7471316
     10.6999998      1.7473238
     10.8000002      1.7476443
     10.8999996      1.7476683
     11.0000000      1.7473960
     11.1000004      1.7446035
     11.1999998      1.7419233
     11.3000002      1.7398199
     11.3999996      1.7424279
     11.5000000      1.7457331
     11.7500000      1.7253107
     12.0000000      1.7173077
     12.2500000      1.7103868
     12.5000000      1.7017227
     12.7500000      1.6918271
     13.0000000      1.6802084
     13.2500000      1.6742990
     13.5000000      1.6664063
     13.7500000      1.6565006
     14.0000000      1.6434298
     14.2500000      1.6556491
     14.5000000      1.6695915
     14.7500000      1.6818309
     15.0000000      1.6941106
     15.2500000      1.7162360
     15.5000000      1.7387822
     15.7500000      1.7617788
     16.0000000      1.7852565
     16.2500000      1.8118490
     16.5000000      1.8384016
     16.7500000      1.8635719
     17.0000000      1.8893430
     17.2500000      1.9122899
     17.5000000      1.9343952
     17.7500000      1.9556290
     18.0000000      1.9766830
     18.2500000      1.9902444
     18.5000000      2.0034256
     18.7500000      2.0162261
     19.0000000      2.0294073
     19.2500000      2.0337441
     19.5000000      2.0382812
     19.7500000      2.0422578
     20.0000000      2.0464745
     20.8799992      2.0511923
     25.6399994      2.0678413
     31.4799995      2.0898383
     38.6599998      2.0801435
     47.4799995      1.9117550
     58.3100014      1.6504815
     71.6100006      1.3134239
     87.9400024      0.8882082
    108.0000000      0.5296154
    132.6000061      0.3021219
    162.8999939      0.1578746
    200.0000000      0.0826122
    204.3000031      0.0772100
    303.8999939      0.0216237
    452.0000000      0.0058021
    672.2999878      0.0015275
   1000.0000000      0.0002514
