# dog   tau_V= 1.50
      0.0100000      0.0000881
      0.0150000      0.0001591
      0.0220000      0.0002930
      0.0330000      0.0005756
      0.0490000      0.0011331
      0.0730000      0.0020107
      0.1000000      0.0030829
      0.1230000      0.0036875
      0.1510000      0.0045082
      0.1850000      0.0057598
      0.2270000      0.0081505
      0.2790000      0.0096622
      0.3430000      0.0096290
      0.4210000      0.0092532
      0.5170000      0.0098201
      0.5500000      0.0102706
      0.6350000      0.0114305
      0.7800000      0.0138469
      0.9580000      0.0159283
      1.1770000      0.0196308
      1.4450001      0.0310536
      1.7740000      0.0603416
      2.1789999      0.1146245
      2.6760001      0.1915870
      3.2860000      0.2842337
      4.0359998      0.3840345
      4.9559999      0.4854735
      6.0000000      0.5713943
      6.2500000      0.5904447
      6.5000000      0.6080729
      6.7500000      0.6276743
      7.0000000      0.6411058
      7.2500000      0.6907251
      7.5000000      0.7370793
      7.7500000      0.7799680
      8.0000000      0.8246795
      8.2500000      0.9307693
      8.5000000      1.0243590
      8.6000004      1.0594953
      8.6999998      1.0944712
      8.8000002      1.1285578
      8.8999996      1.1624198
      9.0000000      1.1960337
      9.1000004      1.2326564
      9.1999998      1.2672118
      9.3000002      1.2992429
      9.3999996      1.3294070
      9.5000000      1.3568712
      9.6000004      1.3688463
      9.6999998      1.3796074
      9.8000002      1.3863702
      9.8999996      1.3921875
     10.0000000      1.3978366
     10.1000004      1.3984617
     10.1999998      1.3988222
     10.3000002      1.3989183
     10.3999996      1.3987499
     10.5000000      1.3983173
     10.6000004      1.3976203
     10.6999998      1.3966587
     10.8000002      1.3962982
     10.8999996      1.3956890
     11.0000000      1.3948319
     11.1000004      1.3919473
     11.1999998      1.3887823
     11.3000002      1.3862422
     11.3999996      1.3884616
     11.5000000      1.3914262
     11.7500000      1.3741288
     12.0000000      1.3682691
     12.2500000      1.3634015
     12.5000000      1.3576723
     12.7500000      1.3516227
     13.0000000      1.3437500
     13.2500000      1.3403947
     13.5000000      1.3364785
     13.7500000      1.3303788
     14.0000000      1.3225963
     14.2500000      1.3336539
     14.5000000      1.3460137
     14.7500000      1.3574018
     15.0000000      1.3677887
     15.2500000      1.3856972
     15.5000000      1.4040666
     15.7500000      1.4229268
     16.0000000      1.4423078
     16.2500000      1.4635416
     16.5000000      1.4847356
     16.7500000      1.5058894
     17.0000000      1.5263221
     17.2500000      1.5453128
     17.5000000      1.5628006
     17.7500000      1.5801483
     18.0000000      1.5966346
     18.2500000      1.6078426
     18.5000000      1.6194913
     18.7500000      1.6293571
     19.0000000      1.6404248
     19.2500000      1.6450422
     19.5000000      1.6484375
     19.7500000      1.6521635
     20.0000000      1.6554488
     20.8799992      1.6596924
     25.6399994      1.6702981
     31.4799995      1.6786811
     38.6599998      1.6650443
     47.4799995      1.5084791
     58.3100014      1.2881466
     71.6100006      1.0276724
     87.9400024      0.6863266
    108.0000000      0.3950481
    132.6000061      0.2199907
    162.8999939      0.1146696
    200.0000000      0.0596234
    204.3000031      0.0556668
    303.8999939      0.0153411
    452.0000000      0.0040148
    672.2999878      0.0010305
   1000.0000000      0.0001118
