# dog   tau_V= 2.75
      0.0100000      0.0000462
      0.0150000      0.0000770
      0.0220000      0.0001366
      0.0330000      0.0002648
      0.0490000      0.0005134
      0.0730000      0.0008125
      0.1000000      0.0011338
      0.1230000      0.0012532
      0.1510000      0.0015015
      0.1850000      0.0020368
      0.2270000      0.0033459
      0.2790000      0.0040632
      0.3430000      0.0041831
      0.4210000      0.0042960
      0.5170000      0.0050250
      0.5500000      0.0054251
      0.6350000      0.0064797
      0.7800000      0.0086094
      0.9580000      0.0107506
      1.1770000      0.0145333
      1.4450001      0.0260980
      1.7740000      0.0577900
      2.1789999      0.1220450
      2.6760001      0.2212847
      3.2860000      0.3475577
      4.0359998      0.4849344
      4.9559999      0.6187058
      6.0000000      0.7266827
      6.2500000      0.7491987
      6.5000000      0.7690105
      6.7500000      0.7910157
      7.0000000      0.8057292
      7.2500000      0.8716847
      7.5000000      0.9308895
      7.7500000      0.9842749
      8.0000000      1.0378207
      8.2500000      1.1687499
      8.5000000      1.2804488
      8.6000004      1.3210098
      8.6999998      1.3607693
      8.8000002      1.3996797
      8.8999996      1.4373360
      9.0000000      1.4747597
      9.1000004      1.5148438
      9.1999998      1.5521314
      9.3000002      1.5868872
      9.3999996      1.6186380
      9.5000000      1.6480371
      9.6000004      1.6607695
      9.6999998      1.6726285
      9.8000002      1.6800561
      9.8999996      1.6872836
     10.0000000      1.6935096
     10.1000004      1.6946636
     10.1999998      1.6955049
     10.3000002      1.6960338
     10.3999996      1.6962498
     10.5000000      1.6957334
     10.6000004      1.6953207
     10.6999998      1.6945953
     10.8000002      1.6939906
     10.8999996      1.6935178
     11.0000000      1.6923079
     11.1000004      1.6890146
     11.1999998      1.6853849
     11.3000002      1.6823238
     11.3999996      1.6844231
     11.5000000      1.6872196
     11.7500000      1.6655250
     12.0000000      1.6567308
     12.2500000      1.6490384
     12.5000000      1.6396235
     12.7500000      1.6295073
     13.0000000      1.6171875
     13.2500000      1.6111279
     13.5000000      1.6036659
     13.7500000      1.5931492
     14.0000000      1.5806091
     14.2500000      1.5928487
     14.5000000      1.6056892
     14.7500000      1.6180087
     15.0000000      1.6292068
     15.2500000      1.6508616
     15.5000000      1.6729568
     15.7500000      1.6948919
     16.0000000      1.7179489
     16.2500000      1.7434896
     16.5000000      1.7689904
     16.7500000      1.7937802
     17.0000000      1.8185096
     17.2500000      1.8404148
     17.5000000      1.8621795
     17.7500000      1.8830931
     18.0000000      1.9024041
     18.2500000      1.9156650
     18.5000000      1.9285659
     18.7500000      1.9411058
     19.0000000      1.9532855
     19.2500000      1.9573920
     19.5000000      1.9617189
     19.7500000      1.9655050
     20.0000000      1.9687501
     20.8799992      1.9725578
     25.6399994      1.9825802
     31.4799995      1.9977692
     38.6599998      1.9841132
     47.4799995      1.8145502
     58.3100014      1.5603067
     71.6100006      1.2405516
     87.9400024      0.8353595
    108.0000000      0.4937020
    132.6000061      0.2797563
    162.8999939      0.1459312
    200.0000000      0.0761619
    204.3000031      0.0711858
    303.8999939      0.0198339
    452.0000000      0.0052896
    672.2999878      0.0013839
   1000.0000000      0.0002109
