# dog   tau_V= 5.50
      0.0100000      0.0000091
      0.0150000      0.0000129
      0.0220000      0.0000212
      0.0330000      0.0000399
      0.0490000      0.0000741
      0.0730000      0.0000907
      0.1000000      0.0001032
      0.1230000      0.0000968
      0.1510000      0.0001110
      0.1850000      0.0001695
      0.2270000      0.0003825
      0.2790000      0.0004897
      0.3430000      0.0005429
      0.4210000      0.0006480
      0.5170000      0.0009458
      0.5500000      0.0010993
      0.6350000      0.0015458
      0.7800000      0.0025569
      0.9580000      0.0038919
      1.1770000      0.0064886
      1.4450001      0.0148900
      1.7740000      0.0410309
      2.1789999      0.1023152
      2.6760001      0.2101346
      3.2860000      0.3617760
      4.0359998      0.5386184
      4.9559999      0.7161977
      6.0000000      0.8620192
      6.2500000      0.8916767
      6.5000000      0.9177084
      6.7500000      0.9451624
      7.0000000      0.9653046
      7.2500000      1.0381210
      7.5000000      1.1021636
      7.7500000      1.1593951
      8.0000000      1.2150642
      8.2500000      1.3313701
      8.5000000      1.4214344
      8.6000004      1.4522837
      8.6999998      1.4817188
      8.8000002      1.5096797
      8.8999996      1.5361059
      9.0000000      1.5612983
      9.1000004      1.5870315
      9.1999998      1.6103687
      9.3000002      1.6315987
      9.3999996      1.6514022
      9.5000000      1.6697316
      9.6000004      1.6830771
      9.6999998      1.6955571
      9.8000002      1.7071475
      9.8999996      1.7182212
     10.0000000      1.7291667
     10.1000004      1.7379609
     10.1999998      1.7461778
     10.3000002      1.7542188
     10.3999996      1.7616667
     10.5000000      1.7685096
     10.6000004      1.7751604
     10.6999998      1.7811898
     10.8000002      1.7870193
     10.8999996      1.7930851
     11.0000000      1.7980770
     11.1000004      1.8019714
     11.1999998      1.8060899
     11.3000002      1.8095394
     11.3999996      1.8168750
     11.5000000      1.8245194
     11.7500000      1.8194612
     12.0000000      1.8235579
     12.2500000      1.8267028
     12.5000000      1.8279248
     12.7500000      1.8266827
     13.0000000      1.8229167
     13.2500000      1.8239987
     13.5000000      1.8221756
     13.7500000      1.8179089
     14.0000000      1.8100163
     14.2500000      1.8257812
     14.5000000      1.8421274
     14.7500000      1.8585238
     15.0000000      1.8737981
     15.2500000      1.8989184
     15.5000000      1.9244592
     15.7500000      1.9504509
     16.0000000      1.9769233
     16.2500000      2.0058594
     16.5000000      2.0353968
     16.7500000      2.0642228
     17.0000000      2.0923080
     17.2500000      2.1182392
     17.5000000      2.1433296
     17.7500000      2.1682591
     18.0000000      2.1923079
     18.2500000      2.2095954
     18.5000000      2.2272639
     18.7500000      2.2438402
     19.0000000      2.2600563
     19.2500000      2.2689707
     19.5000000      2.2773438
     19.7500000      2.2851765
     20.0000000      2.2924678
     20.8799992      2.3105195
     25.6399994      2.3862870
     31.4799995      2.4644198
     38.6599998      2.4952428
     47.4799995      2.3416619
     58.3100014      2.0546331
     71.6100006      1.6430711
     87.9400024      1.1284930
    108.0000000      0.6940385
    132.6000061      0.4047594
    162.8999939      0.2129578
    200.0000000      0.1122596
    204.3000031      0.1050967
    303.8999939      0.0299273
    452.0000000      0.0082016
    672.2999878      0.0022017
   1000.0000000      0.0004431
