# dog   tau_V= 3.00
      0.0100000      0.0000402
      0.0150000      0.0000660
      0.0220000      0.0001163
      0.0330000      0.0002248
      0.0490000      0.0004342
      0.0730000      0.0006709
      0.1000000      0.0009187
      0.1230000      0.0009999
      0.1510000      0.0011930
      0.1850000      0.0016365
      0.2270000      0.0027684
      0.2790000      0.0033791
      0.3430000      0.0035042
      0.4210000      0.0036483
      0.5170000      0.0043539
      0.5500000      0.0047332
      0.6350000      0.0057369
      0.7800000      0.0077719
      0.9580000      0.0098794
      1.1770000      0.0136091
      1.4450001      0.0250270
      1.7740000      0.0566955
      2.1789999      0.1218703
      2.6760001      0.2238577
      3.2860000      0.3546668
      4.0359998      0.4977086
      4.9559999      0.6365760
      6.0000000      0.7485577
      6.2500000      0.7714844
      6.5000000      0.7919272
      6.7500000      0.8142729
      7.0000000      0.8295674
      7.2500000      0.8972456
      7.5000000      0.9576323
      7.7500000      1.0122195
      8.0000000      1.0663463
      8.2500000      1.1991587
      8.5000000      1.3107573
      8.6000004      1.3513303
      8.6999998      1.3910937
      8.8000002      1.4292951
      8.8999996      1.4669311
      9.0000000      1.5036058
      9.1000004      1.5432814
      9.1999998      1.5797758
      9.3000002      1.6140869
      9.3999996      1.6453767
      9.5000000      1.6739184
      9.6000004      1.6869234
      9.6999998      1.6986661
      9.8000002      1.7063621
      9.8999996      1.7138581
     10.0000000      1.7203525
     10.1000004      1.7221795
     10.1999998      1.7232932
     10.3000002      1.7245073
     10.3999996      1.7249999
     10.5000000      1.7247597
     10.6000004      1.7246237
     10.6999998      1.7246034
     10.8000002      1.7242789
     10.8999996      1.7240865
     11.0000000      1.7231572
     11.1000004      1.7201444
     11.1999998      1.7172438
     11.3000002      1.7140146
     11.3999996      1.7168510
     11.5000000      1.7199320
     11.7500000      1.6984777
     12.0000000      1.6899039
     12.2500000      1.6824118
     12.5000000      1.6731772
     12.7500000      1.6632211
     13.0000000      1.6510416
     13.2500000      1.6451021
     13.5000000      1.6371996
     13.7500000      1.6267530
     14.0000000      1.6137019
     14.2500000      1.6265326
     14.5000000      1.6393831
     14.7500000      1.6522837
     15.0000000      1.6634618
     15.2500000      1.6856873
     15.5000000      1.7077326
     15.7500000      1.7308596
     16.0000000      1.7538464
     16.2500000      1.7792969
     16.5000000      1.8060097
     16.7500000      1.8313601
     17.0000000      1.8559698
     17.2500000      1.8784258
     17.5000000      1.9007413
     17.7500000      1.9214945
     18.0000000      1.9420675
     18.2500000      1.9551482
     18.5000000      1.9685899
     18.7500000      1.9809196
     19.0000000      1.9936301
     19.2500000      1.9982672
     19.5000000      2.0023437
     19.7500000      2.0058596
     20.0000000      2.0096154
     20.8799992      2.0135481
     25.6399994      2.0267515
     31.4799995      2.0444345
     38.6599998      2.0336773
     47.4799995      1.8640085
     58.3100014      1.6060950
     71.6100006      1.2772746
     87.9400024      0.8621362
    108.0000000      0.5114423
    132.6000061      0.2909657
    162.8999939      0.1519356
    200.0000000      0.0793750
    204.3000031      0.0741979
    303.8999939      0.0207227
    452.0000000      0.0055450
    672.2999878      0.0014556
   1000.0000000      0.0002311
