# dog   tau_V= 4.00
      0.0100000      0.0000226
      0.0150000      0.0000349
      0.0220000      0.0000598
      0.0330000      0.0001143
      0.0490000      0.0002175
      0.0730000      0.0003056
      0.1000000      0.0003882
      0.1230000      0.0003978
      0.1510000      0.0004669
      0.1850000      0.0006679
      0.2270000      0.0012696
      0.2790000      0.0015817
      0.3430000      0.0016861
      0.4210000      0.0018571
      0.5170000      0.0024048
      0.5500000      0.0026861
      0.6350000      0.0034548
      0.7800000      0.0050687
      0.9580000      0.0069163
      1.1770000      0.0102846
      1.4450001      0.0207371
      1.7740000      0.0510807
      2.1789999      0.1169816
      2.6760001      0.2253587
      3.2860000      0.3692801
      4.0359998      0.5300484
      4.9559999      0.6868111
      6.0000000      0.8127403
      6.2500000      0.8383413
      6.5000000      0.8606771
      6.7500000      0.8848558
      7.0000000      0.9016427
      7.2500000      0.9736380
      7.5000000      1.0372597
      7.7500000      1.0938803
      8.0000000      1.1496797
      8.2500000      1.2807993
      8.5000000      1.3873800
      8.6000004      1.4254088
      8.6999998      1.4621997
      8.8000002      1.4973398
      8.8999996      1.5314704
      9.0000000      1.5649039
      9.1000004      1.5997919
      9.1999998      1.6317469
      9.3000002      1.6614064
      9.3999996      1.6886859
      9.5000000      1.7135018
      9.6000004      1.7265388
      9.6999998      1.7386941
      9.8000002      1.7475882
      9.8999996      1.7562979
     10.0000000      1.7644230
     10.1000004      1.7687141
     10.1999998      1.7723317
     10.3000002      1.7760899
     10.3999996      1.7787499
     10.5000000      1.7811298
     10.6000004      1.7832294
     10.6999998      1.7850481
     10.8000002      1.7870193
     10.8999996      1.7887180
     11.0000000      1.7897037
     11.1000004      1.7890747
     11.1999998      1.7881410
     11.3000002      1.7873559
     11.3999996      1.7912983
     11.5000000      1.7959538
     11.7500000      1.7789766
     12.0000000      1.7745193
     12.2500000      1.7697718
     12.5000000      1.7638223
     12.7500000      1.7556791
     13.0000000      1.7453126
     13.2500000      1.7411860
     13.5000000      1.7345554
     13.7500000      1.7253606
     14.0000000      1.7135419
     14.2500000      1.7270132
     14.5000000      1.7410457
     14.7500000      1.7545173
     15.0000000      1.7674279
     15.2500000      1.7901645
     15.5000000      1.8139225
     15.7500000      1.8381312
     16.0000000      1.8621795
     16.2500000      1.8893230
     16.5000000      1.9170673
     16.7500000      1.9441007
     17.0000000      1.9703927
     17.2500000      1.9938405
     17.5000000      2.0171275
     17.7500000      2.0395434
     18.0000000      2.0610578
     18.2500000      2.0765226
     18.5000000      2.0908854
     18.7500000      2.1048679
     19.0000000      2.1184697
     19.2500000      2.1239784
     19.5000000      2.1296875
     19.7500000      2.1348360
     20.0000000      2.1394231
     20.8799992      2.1473944
     25.6399994      2.1787837
     31.4799995      2.2146988
     38.6599998      2.2164447
     47.4799995      2.0506186
     58.3100014      1.7813052
     71.6100006      1.4204372
     87.9400024      0.9664240
    108.0000000      0.5832692
    132.6000061      0.3355907
    162.8999939      0.1758223
    200.0000000      0.0922276
    204.3000031      0.0862709
    303.8999939      0.0243266
    452.0000000      0.0065826
    672.2999878      0.0017467
   1000.0000000      0.0003136
