# dog   tau_V= 6.50
      0.0100000      0.0000049
      0.0150000      0.0000066
      0.0220000      0.0000105
      0.0330000      0.0000195
      0.0490000      0.0000357
      0.0730000      0.0000401
      0.1000000      0.0000425
      0.1230000      0.0000376
      0.1510000      0.0000425
      0.1850000      0.0000682
      0.2270000      0.0001724
      0.2790000      0.0002239
      0.3430000      0.0002535
      0.4210000      0.0003179
      0.5170000      0.0005006
      0.5500000      0.0005972
      0.6350000      0.0008892
      0.7800000      0.0015909
      0.9580000      0.0026030
      1.1770000      0.0046797
      1.4450001      0.0116538
      1.7740000      0.0344352
      2.1789999      0.0906171
      2.6760001      0.1940529
      3.2860000      0.3453197
      4.0359998      0.5281080
      4.9559999      0.7167933
      6.0000000      0.8759615
      6.2500000      0.9084536
      6.5000000      0.9375001
      6.7500000      0.9676082
      7.0000000      0.9905449
      7.2500000      1.0622296
      7.5000000      1.1256009
      7.7500000      1.1823719
      8.0000000      1.2371795
      8.2500000      1.3402945
      8.5000000      1.4173479
      8.6000004      1.4433254
      8.6999998      1.4674278
      8.8000002      1.4902886
      8.8999996      1.5115025
      9.0000000      1.5317309
      9.1000004      1.5509377
      9.1999998      1.5687181
      9.3000002      1.5850241
      9.3999996      1.6001843
      9.5000000      1.6145434
      9.6000004      1.6280773
      9.6999998      1.6411500
      9.8000002      1.6541426
      9.8999996      1.6670552
     10.0000000      1.6798877
     10.1000004      1.6918310
     10.1999998      1.7032692
     10.3000002      1.7146034
     10.3999996      1.7249999
     10.5000000      1.7348559
     10.6000004      1.7445836
     10.6999998      1.7537540
     10.8000002      1.7627887
     10.8999996      1.7712501
     11.0000000      1.7795675
     11.1000004      1.7868513
     11.1999998      1.7944232
     11.3000002      1.8009377
     11.3999996      1.8109375
     11.5000000      1.8208334
     11.7500000      1.8241688
     12.0000000      1.8350962
     12.2500000      1.8448617
     12.5000000      1.8519633
     12.7500000      1.8563102
     13.0000000      1.8578126
     13.2500000      1.8632815
     13.5000000      1.8659858
     13.7500000      1.8652847
     14.0000000      1.8616189
     14.2500000      1.8794472
     14.5000000      1.8978968
     14.7500000      1.9164362
     15.0000000      1.9338943
     15.2500000      1.9606271
     15.5000000      1.9878007
     15.7500000      2.0154448
     16.0000000      2.0435901
     16.2500000      2.0742188
     16.5000000      2.1048079
     16.7500000      2.1346855
     17.0000000      2.1651845
     17.2500000      2.1928790
     17.5000000      2.2197516
     17.7500000      2.2464843
     18.0000000      2.2723560
     18.2500000      2.2922175
     18.5000000      2.3117590
     18.7500000      2.3302286
     19.0000000      2.3491189
     19.2500000      2.3599761
     19.5000000      2.3710938
     19.7500000      2.3809197
     20.0000000      2.3910255
     20.8799992      2.4167595
     25.6399994      2.5290737
     31.4799995      2.6397293
     38.6599998      2.6934993
     47.4799995      2.5490065
     58.3100014      2.2494674
     71.6100006      1.8008655
     87.9400024      1.2422935
    108.0000000      0.7710578
    132.6000061      0.4528907
    162.8999939      0.2386067
    200.0000000      0.1261218
    204.3000031      0.1181110
    303.8999939      0.0337870
    452.0000000      0.0093171
    672.2999878      0.0025157
   1000.0000000      0.0005333
