# dog   tau_V= 9.50
      0.0100000      0.0000008
      0.0150000      0.0000009
      0.0220000      0.0000013
      0.0330000      0.0000023
      0.0490000      0.0000041
      0.0730000      0.0000037
      0.1000000      0.0000032
      0.1230000      0.0000024
      0.1510000      0.0000026
      0.1850000      0.0000050
      0.2270000      0.0000178
      0.2790000      0.0000235
      0.3430000      0.0000275
      0.4210000      0.0000388
      0.5170000      0.0000747
      0.5500000      0.0000955
      0.6350000      0.0001664
      0.7800000      0.0003703
      0.9580000      0.0007438
      1.1770000      0.0016636
      1.4450001      0.0052393
      1.7740000      0.0188203
      2.1789999      0.0577575
      2.6760001      0.1401255
      3.2860000      0.2765980
      4.0359998      0.4619732
      4.9559999      0.6745005
      6.0000000      0.8723558
      6.2500000      0.9144632
      6.5000000      0.9533855
      6.7500000      0.9924881
      7.0000000      1.0258814
      7.2500000      1.0912760
      7.5000000      1.1511420
      7.7500000      1.2059696
      8.0000000      1.2583334
      8.2500000      1.3201323
      8.5000000      1.3591146
      8.6000004      1.3709697
      8.6999998      1.3816828
      8.8000002      1.3908656
      8.8999996      1.3988261
      9.0000000      1.4062500
      9.1000004      1.4105731
      9.1999998      1.4150161
      9.3000002      1.4192189
      9.3999996      1.4243109
      9.5000000      1.4299480
      9.6000004      1.4446157
      9.6999998      1.4596636
      9.8000002      1.4774599
      9.8999996      1.4949157
     10.0000000      1.5128205
     10.1000004      1.5328046
     10.1999998      1.5524760
     10.3000002      1.5718230
     10.3999996      1.5908333
     10.5000000      1.6090746
     10.6000004      1.6269474
     10.6999998      1.6444393
     10.8000002      1.6615386
     10.8999996      1.6782331
     11.0000000      1.6945113
     11.1000004      1.7116948
     11.1999998      1.7280128
     11.3000002      1.7443473
     11.3999996      1.7616106
     11.5000000      1.7784457
     11.7500000      1.8062803
     12.0000000      1.8379807
     12.2500000      1.8674378
     12.5000000      1.8935297
     12.7500000      1.9160758
     13.0000000      1.9348959
     13.2500000      1.9545875
     13.5000000      1.9719954
     13.7500000      1.9853766
     14.0000000      1.9951122
     14.2500000      2.0204628
     14.5000000      2.0466146
     14.7500000      2.0724461
     15.0000000      2.0973558
     15.2500000      2.1298678
     15.5000000      2.1629210
     15.7500000      2.1959136
     16.0000000      2.2294872
     16.2500000      2.2643228
     16.5000000      2.3004808
     16.7500000      2.3353367
     17.0000000      2.3708737
     17.2500000      2.4043572
     17.5000000      2.4370997
     17.7500000      2.4697816
     18.0000000      2.5016828
     18.2500000      2.5291166
     18.5000000      2.5556092
     18.7500000      2.5818808
     19.0000000      2.6071718
     19.2500000      2.6268229
     19.5000000      2.6453128
     19.7500000      2.6641929
     20.0000000      2.6818912
     20.8799992      2.7354808
     25.6399994      2.9707885
     31.4799995      3.1908813
     38.6599998      3.3269906
     47.4799995      3.2109876
     58.3100014      2.8687775
     71.6100006      2.2986352
     87.9400024      1.5991974
    108.0000000      1.0125000
    132.6000061      0.6024376
    162.8999939      0.3182293
    200.0000000      0.1688301
    204.3000031      0.1582998
    303.8999939      0.0456946
    452.0000000      0.0127542
    672.2999878      0.0034800
   1000.0000000      0.0008109
