# dog   tau_V= 9.75
      0.0100000      0.0000007
      0.0150000      0.0000007
      0.0220000      0.0000011
      0.0330000      0.0000019
      0.0490000      0.0000034
      0.0730000      0.0000030
      0.1000000      0.0000026
      0.1230000      0.0000019
      0.1510000      0.0000021
      0.1850000      0.0000041
      0.2270000      0.0000149
      0.2790000      0.0000197
      0.3430000      0.0000231
      0.4210000      0.0000328
      0.5170000      0.0000639
      0.5500000      0.0000822
      0.6350000      0.0001449
      0.7800000      0.0003281
      0.9580000      0.0006694
      1.1770000      0.0015236
      1.4450001      0.0048879
      1.7740000      0.0178324
      2.1789999      0.0554178
      2.6760001      0.1358370
      3.2860000      0.2705421
      4.0359998      0.4553436
      4.9559999      0.6695365
      6.0000000      0.8699519
      6.2500000      0.9129608
      6.5000000      0.9528647
      6.7500000      0.9927585
      7.0000000      1.0270033
      7.2500000      1.0915667
      7.5000000      1.1514423
      7.7500000      1.2059696
      8.0000000      1.2580129
      8.2500000      1.3164965
      8.5000000      1.3526442
      8.6000004      1.3637341
      8.6999998      1.3733174
      8.8000002      1.3813462
      8.8999996      1.3888422
      9.0000000      1.3950722
      9.1000004      1.3985419
      9.1999998      1.4017469
      9.3000002      1.4054329
      9.3999996      1.4100000
      9.5000000      1.4151043
      9.6000004      1.4296155
      9.6999998      1.4448960
      9.8000002      1.4629328
      9.8999996      1.4810336
     10.0000000      1.4991987
     10.1000004      1.5198560
     10.1999998      1.5398077
     10.3000002      1.5598559
     10.3999996      1.5791668
     10.5000000      1.5981371
     10.6000004      1.6163303
     10.6999998      1.6345794
     10.8000002      1.6524520
     10.8999996      1.6694993
     11.0000000      1.6865786
     11.1000004      1.7045796
     11.1999998      1.7217309
     11.3000002      1.7384617
     11.3999996      1.7565868
     11.5000000      1.7738383
     11.7500000      1.8034558
     12.0000000      1.8370192
     12.2500000      1.8679287
     12.5000000      1.8950322
     12.7500000      1.9191407
     13.0000000      1.9395834
     13.2500000      1.9609578
     13.5000000      1.9790267
     13.7500000      1.9936399
     14.0000000      2.0046475
     14.2500000      2.0313101
     14.5000000      2.0576522
     14.7500000      2.0842648
     15.0000000      2.1099761
     15.2500000      2.1426985
     15.5000000      2.1759617
     15.7500000      2.2097957
     16.0000000      2.2435901
     16.2500000      2.2792969
     16.5000000      2.3150241
     16.7500000      2.3507714
     17.0000000      2.3872197
     17.2500000      2.4209437
     17.5000000      2.4539263
     17.7500000      2.4868491
     18.0000000      2.5197117
     18.2500000      2.5473959
     18.5000000      2.5748801
     18.7500000      2.6014125
     19.0000000      2.6277246
     19.2500000      2.6476464
     19.5000000      2.6671875
     19.7500000      2.6863487
     20.0000000      2.7043271
     20.8799992      2.7605772
     25.6399994      3.0067420
     31.4799995      3.2375469
     38.6599998      3.3796525
     47.4799995      3.2680547
     58.3100014      2.9201725
     71.6100006      2.3405223
     87.9400024      1.6291449
    108.0000000      1.0324039
    132.6000061      0.6146563
    162.8999939      0.3248863
    200.0000000      0.1724359
    204.3000031      0.1616556
    303.8999939      0.0466930
    452.0000000      0.0130403
    672.2999878      0.0035608
   1000.0000000      0.0008341
