# dog   tau_V= 4.50
      0.0100000      0.0000168
      0.0150000      0.0000252
      0.0220000      0.0000425
      0.0330000      0.0000808
      0.0490000      0.0001525
      0.0730000      0.0002045
      0.1000000      0.0002502
      0.1230000      0.0002490
      0.1510000      0.0002898
      0.1850000      0.0004234
      0.2270000      0.0008524
      0.2790000      0.0010725
      0.3430000      0.0011594
      0.4210000      0.0013124
      0.5170000      0.0017691
      0.5500000      0.0020028
      0.6350000      0.0026535
      0.7800000      0.0040531
      0.9580000      0.0057380
      1.1770000      0.0088652
      1.4450001      0.0186762
      1.7740000      0.0478184
      2.1789999      0.1127912
      2.6760001      0.2220351
      3.2860000      0.3699383
      4.0359998      0.5371631
      4.9559999      0.7015043
      6.0000000      0.8341347
      6.2500000      0.8608775
      6.5000000      0.8843750
      6.7500000      0.9097357
      7.0000000      0.9274440
      7.2500000      1.0003606
      7.5000000      1.0643029
      7.7500000      1.1215146
      8.0000000      1.1772436
      8.2500000      1.3045974
      8.5000000      1.4064504
      8.6000004      1.4422917
      8.6999998      1.4768389
      8.8000002      1.5096797
      8.8999996      1.5414544
      9.0000000      1.5721155
      9.1000004      1.6041669
      9.1999998      1.6332214
      9.3000002      1.6602887
      9.3999996      1.6849201
      9.5000000      1.7077928
      9.6000004      1.7207695
      9.6999998      1.7328647
      9.8000002      1.7428766
      9.8999996      1.7523317
     10.0000000      1.7612178
     10.1000004      1.7670954
     10.1999998      1.7723317
     10.3000002      1.7773278
     10.3999996      1.7816668
     10.5000000      1.7853367
     10.6000004      1.7887503
     10.6999998      1.7919071
     10.8000002      1.7952405
     10.8999996      1.7978888
     11.0000000      1.8007212
     11.1000004      1.8010819
     11.1999998      1.8016026
     11.3000002      1.8022958
     11.3999996      1.8072838
     11.5000000      1.8130009
     11.7500000      1.7996898
     12.0000000      1.7975962
     12.2500000      1.7952924
     12.5000000      1.7913662
     12.7500000      1.7853066
     13.0000000      1.7765626
     13.2500000      1.7740985
     13.5000000      1.7686299
     13.7500000      1.7611681
     14.0000000      1.7500002
     14.2500000      1.7641226
     14.5000000      1.7788062
     14.7500000      1.7929289
     15.0000000      1.8064903
     15.2500000      1.8304888
     15.5000000      1.8549080
     15.7500000      1.8791467
     16.0000000      1.9044875
     16.2500000      1.9322917
     16.5000000      1.9600360
     16.7500000      1.9870493
     17.0000000      2.0146637
     17.2500000      2.0387623
     17.5000000      2.0627005
     17.7500000      2.0857673
     18.0000000      2.1079328
     18.2500000      2.1240485
     18.5000000      2.1390626
     18.7500000      2.1536961
     19.0000000      2.1687102
     19.2500000      2.1748800
     19.5000000      2.1812499
     19.7500000      2.1870594
     20.0000000      2.1931090
     20.8799992      2.2034421
     25.6399994      2.2486362
     31.4799995      2.2966781
     38.6599998      2.3062797
     47.4799995      2.1457310
     58.3100014      1.8698450
     71.6100006      1.4927357
     87.9400024      1.0192724
    108.0000000      0.6191828
    132.6000061      0.3582219
    162.8999939      0.1879615
    200.0000000      0.0987981
    204.3000031      0.0924916
    303.8999939      0.0261651
    452.0000000      0.0071132
    672.2999878      0.0018960
   1000.0000000      0.0003560
