# hdd   tau_V= 4.25
      0.0100000      0.0000237
      0.0150000      0.0000364
      0.0220000      0.0000618
      0.0330000      0.0001180
      0.0490000      0.0002216
      0.0730000      0.0002992
      0.1000000      0.0003703
      0.1230000      0.0003756
      0.1510000      0.0004377
      0.1850000      0.0006207
      0.2270000      0.0012087
      0.2790000      0.0015291
      0.3430000      0.0016628
      0.4210000      0.0018807
      0.5170000      0.0025166
      0.5500000      0.0028403
      0.6350000      0.0037423
      0.7800000      0.0056812
      0.9580000      0.0080831
      1.1770000      0.0122321
      1.4450001      0.0200598
      1.7740000      0.0347479
      2.1789999      0.0594685
      2.6760001      0.0947214
      3.2860000      0.1421827
      4.0359998      0.2009915
      4.9559999      0.2702370
      6.0000000      0.3475962
      6.2500000      0.3665866
      6.5000000      0.3846354
      6.7500000      0.4040265
      7.0000000      0.4220754
      7.2500000      0.4679387
      7.5000000      0.5114183
      7.7500000      0.5536158
      8.0000000      0.5961539
      8.2500000      0.6812199
      8.5000000      0.7580529
      8.6000004      0.7872998
      8.6999998      0.8159736
      8.8000002      0.8447437
      8.8999996      0.8732412
      9.0000000      0.9018029
      9.1000004      0.9315104
      9.1999998      0.9601764
      9.3000002      0.9877525
      9.3999996      1.0145674
      9.5000000      1.0405850
      9.6000004      1.0603848
      9.6999998      1.0799800
      9.8000002      1.0985738
      9.8999996      1.1173196
     10.0000000      1.1358173
     10.1000004      1.1524359
     10.1999998      1.1687500
     10.3000002      1.1847476
     10.3999996      1.2008333
     10.5000000      1.2165866
     10.6000004      1.2324200
     10.6999998      1.2483335
     10.8000002      1.2638944
     10.8999996      1.2795273
     11.0000000      1.2952324
     11.1000004      1.3096756
     11.1999998      1.3237180
     11.3000002      1.3378007
     11.3999996      1.3560338
     11.5000000      1.3748399
     11.7500000      1.3962542
     12.0000000      1.4278846
     12.2500000      1.4595954
     12.5000000      1.4893830
     12.7500000      1.5166167
     13.0000000      1.5421876
     13.2500000      1.5739684
     13.5000000      1.6025841
     13.7500000      1.6278548
     14.0000000      1.6484777
     14.2500000      1.7018931
     14.5000000      1.7561499
     14.7500000      1.8118390
     15.0000000      1.8695915
     15.2500000      1.9429088
     15.5000000      2.0182292
     15.7500000      2.0955830
     16.0000000      2.1756411
     16.2500000      2.2617190
     16.5000000      2.3487382
     16.7500000      2.4380109
     17.0000000      2.5282052
     17.2500000      2.6158357
     17.5000000      2.7042267
     17.7500000      2.7926381
     18.0000000      2.8810098
     18.2500000      2.9597757
     18.5000000      3.0381212
     18.7500000      3.1159856
     19.0000000      3.1933098
     19.2500000      3.2569213
     19.5000000      3.3210936
     19.7500000      3.3842449
     20.0000000      3.4463141
     20.8799992      3.6514904
     25.6399994      4.7006669
     31.4799995      5.7032275
     38.6599998      6.1598892
     47.4799995      5.6820016
     58.3100014      4.4830489
     71.6100006      2.9636674
     87.9400024      1.7091224
    108.0000000      0.9380770
    132.6000061      0.4894938
    162.8999939      0.2297960
    200.0000000      0.1120192
    204.3000031      0.1043600
    303.8999939      0.0275044
    452.0000000      0.0075007
    672.2999878      0.0023463
   1000.0000000      0.0004111
