# hdd   tau_V= 2.00
      0.0100000      0.0000882
      0.0150000      0.0001543
      0.0220000      0.0002798
      0.0330000      0.0005468
      0.0490000      0.0010693
      0.0730000      0.0018107
      0.1000000      0.0026715
      0.1230000      0.0030942
      0.1510000      0.0037514
      0.1850000      0.0049104
      0.2270000      0.0073875
      0.2790000      0.0088428
      0.3430000      0.0089295
      0.4210000      0.0088164
      0.5170000      0.0097331
      0.5500000      0.0103125
      0.6350000      0.0118147
      0.7800000      0.0148812
      0.9580000      0.0178051
      1.1770000      0.0225969
      1.4450001      0.0309378
      1.7740000      0.0452313
      2.1789999      0.0670287
      2.6760001      0.0947107
      3.2860000      0.1295311
      4.0359998      0.1702688
      4.9559999      0.2162293
      6.0000000      0.2675481
      6.2500000      0.2804488
      6.5000000      0.2924479
      6.7500000      0.3055889
      7.0000000      0.3177485
      7.2500000      0.3503005
      7.5000000      0.3816106
      7.7500000      0.4123397
      8.0000000      0.4435898
      8.2500000      0.5143029
      8.5000000      0.5819913
      8.6000004      0.6088221
      8.6999998      0.6361178
      8.8000002      0.6638783
      8.8999996      0.6921034
      9.0000000      0.7207933
      9.1000004      0.7521356
      9.1999998      0.7828847
      9.3000002      0.8130049
      9.3999996      0.8420835
      9.5000000      0.8704528
      9.6000004      0.8884617
      9.6999998      0.9062660
      9.8000002      0.9214984
      9.8999996      0.9364543
     10.0000000      0.9515225
     10.1000004      0.9626564
     10.1999998      0.9742308
     10.3000002      0.9854327
     10.3999996      0.9962500
     10.5000000      1.0070914
     10.6000004      1.0175322
     10.6999998      1.0284175
     10.8000002      1.0393269
     10.8999996      1.0502604
     11.0000000      1.0612180
     11.1000004      1.0695313
     11.1999998      1.0782692
     11.3000002      1.0865386
     11.3999996      1.0998077
     11.5000000      1.1136017
     11.7500000      1.1227466
     12.0000000      1.1427885
     12.2500000      1.1626703
     12.5000000      1.1813902
     12.7500000      1.1983774
     13.0000000      1.2135417
     13.2500000      1.2358174
     13.5000000      1.2553487
     13.7500000      1.2714344
     14.0000000      1.2844552
     14.2500000      1.3279449
     14.5000000      1.3721555
     14.7500000      1.4182692
     15.0000000      1.4651443
     15.2500000      1.5274440
     15.5000000      1.5922276
     15.7500000      1.6589243
     16.0000000      1.7282054
     16.2500000      1.8033856
     16.5000000      1.8800480
     16.7500000      1.9588643
     17.0000000      2.0391827
     17.2500000      2.1161661
     17.5000000      2.1945114
     17.7500000      2.2727964
     18.0000000      2.3516827
     18.2500000      2.4194412
     18.5000000      2.4866788
     18.7500000      2.5525842
     19.0000000      2.6185901
     19.2500000      2.6700120
     19.5000000      2.7210939
     19.7500000      2.7718050
     20.0000000      2.8213143
     20.8799992      2.9780772
     25.6399994      3.7391670
     31.4799995      4.3625526
     38.6599998      4.4778070
     47.4799995      3.9129150
     58.3100014      2.9388616
     71.6100006      1.8611141
     87.9400024      1.0361842
    108.0000000      0.5555769
    132.6000061      0.2862375
    162.8999939      0.1345752
    200.0000000      0.0660897
    204.3000031      0.0616338
    303.8999939      0.0166317
    452.0000000      0.0046631
    672.2999878      0.0015991
   1000.0000000      0.0002094
