# hdd   tau_V= 9.75
      0.0100000      0.0000007
      0.0150000      0.0000008
      0.0220000      0.0000011
      0.0330000      0.0000020
      0.0490000      0.0000034
      0.0730000      0.0000028
      0.1000000      0.0000023
      0.1230000      0.0000017
      0.1510000      0.0000019
      0.1850000      0.0000033
      0.2270000      0.0000120
      0.2790000      0.0000166
      0.3430000      0.0000207
      0.4210000      0.0000312
      0.5170000      0.0000645
      0.5500000      0.0000843
      0.6350000      0.0001543
      0.7800000      0.0003688
      0.9580000      0.0008064
      1.1770000      0.0018796
      1.4450001      0.0046644
      1.7740000      0.0115708
      2.1789999      0.0265740
      2.6760001      0.0537880
      3.2860000      0.0979218
      4.0359998      0.1620221
      4.9559999      0.2470058
      6.0000000      0.3471154
      6.2500000      0.3723457
      6.5000000      0.3968750
      6.7500000      0.4224159
      7.0000000      0.4470353
      7.2500000      0.4865285
      7.5000000      0.5249400
      7.7500000      0.5616887
      8.0000000      0.5971155
      8.2500000      0.6283354
      8.5000000      0.6480569
      8.6000004      0.6536139
      8.6999998      0.6584255
      8.8000002      0.6624680
      8.8999996      0.6657172
      9.0000000      0.6685097
      9.1000004      0.6679168
      9.1999998      0.6678846
      9.3000002      0.6680650
      9.3999996      0.6684696
      9.5000000      0.6698719
      9.6000004      0.6800001
      9.6999998      0.6909696
      9.8000002      0.7047676
      9.8999996      0.7187019
     10.0000000      0.7335737
     10.1000004      0.7514303
     10.1999998      0.7690865
     10.3000002      0.7869431
     10.3999996      0.8050000
     10.5000000      0.8232572
     10.6000004      0.8412902
     10.6999998      0.8595152
     10.8000002      0.8775001
     10.8999996      0.8961058
     11.0000000      0.9144632
     11.1000004      0.9352284
     11.1999998      0.9562180
     11.3000002      0.9765266
     11.3999996      0.9984136
     11.5000000      1.0191507
     11.7500000      1.0634315
     12.0000000      1.1134616
     12.2500000      1.1631612
     12.5000000      1.2119391
     12.7500000      1.2601864
     13.0000000      1.3072917
     13.2500000      1.3552585
     13.5000000      1.4024642
     13.7500000      1.4482672
     14.0000000      1.4925481
     14.2500000      1.5454627
     14.5000000      1.5998799
     14.7500000      1.6552384
     15.0000000      1.7121396
     15.2500000      1.7736681
     15.5000000      1.8362783
     15.7500000      1.9012320
     16.0000000      1.9673078
     16.2500000      2.0345051
     16.5000000      2.1034856
     16.7500000      2.1742790
     17.0000000      2.2455530
     17.2500000      2.3172779
     17.5000000      2.3894231
     17.7500000      2.4633815
     18.0000000      2.5391831
     18.2500000      2.6132011
     18.5000000      2.6890225
     18.7500000      2.7659256
     19.0000000      2.8439105
     19.2500000      2.9198921
     19.5000000      2.9968750
     19.7500000      3.0748599
     20.0000000      3.1530447
     20.8799992      3.4339902
     25.6399994      5.0324664
     31.4799995      6.9013848
     38.6599998      8.3825293
     47.4799995      8.6095543
     58.3100014      7.4382639
     71.6100006      5.3018947
     87.9400024      3.2350366
    108.0000000      1.8432693
    132.6000061      0.9849377
    162.8999939      0.4668364
    200.0000000      0.2278846
    204.3000031      0.2122396
    303.8999939      0.0554106
    452.0000000      0.0148494
    672.2999878      0.0042935
   1000.0000000      0.0009371
