# hdd   tau_V= 7.50
      0.0100000      0.0000029
      0.0150000      0.0000037
      0.0220000      0.0000057
      0.0330000      0.0000105
      0.0490000      0.0000186
      0.0730000      0.0000183
      0.1000000      0.0000178
      0.1230000      0.0000151
      0.1510000      0.0000166
      0.1850000      0.0000266
      0.2270000      0.0000741
      0.2790000      0.0001003
      0.3430000      0.0001200
      0.4210000      0.0001638
      0.5170000      0.0002873
      0.5500000      0.0003548
      0.6350000      0.0005722
      0.7800000      0.0011463
      0.9580000      0.0021198
      1.1770000      0.0041898
      1.4450001      0.0089213
      1.7740000      0.0194031
      2.1789999      0.0399047
      2.6760001      0.0736222
      3.2860000      0.1238701
      4.0359998      0.1914513
      4.9559999      0.2757966
      6.0000000      0.3711539
      6.2500000      0.3946314
      6.5000000      0.4171876
      6.7500000      0.4408053
      7.0000000      0.4633013
      7.2500000      0.5077324
      7.5000000      0.5504808
      7.7500000      0.5914965
      8.0000000      0.6317308
      8.2500000      0.6891527
      8.5000000      0.7342148
      8.6000004      0.7497436
      8.6999998      0.7643871
      8.8000002      0.7784616
      8.8999996      0.7915865
      9.0000000      0.8040866
      9.1000004      0.8144793
      9.1999998      0.8249039
      9.3000002      0.8346155
      9.3999996      0.8439664
      9.5000000      0.8537059
      9.6000004      0.8676924
      9.6999998      0.8821716
      9.8000002      0.8983333
      9.8999996      0.9150361
     10.0000000      0.9318910
     10.1000004      0.9501122
     10.1999998      0.9685097
     10.3000002      0.9866707
     10.3999996      1.0050000
     10.5000000      1.0230770
     10.6000004      1.0413142
     10.6999998      1.0592828
     10.8000002      1.0774039
     10.8999996      1.0956771
     11.0000000      1.1136620
     11.1000004      1.1326804
     11.1999998      1.1518592
     11.3000002      1.1707453
     11.3999996      1.1916106
     11.5000000      1.2126604
     11.7500000      1.2498499
     12.0000000      1.2937500
     12.2500000      1.3373899
     12.5000000      1.3797076
     12.7500000      1.4200722
     13.0000000      1.4588542
     13.2500000      1.5001804
     13.5000000      1.5403847
     13.7500000      1.5777245
     14.0000000      1.6120194
     14.2500000      1.6647837
     14.5000000      1.7189703
     14.7500000      1.7746094
     15.0000000      1.8317308
     15.2500000      1.8976966
     15.5000000      1.9660658
     15.7500000      2.0356371
     16.0000000      2.1070516
     16.2500000      2.1816406
     16.5000000      2.2575121
     16.7500000      2.3346658
     17.0000000      2.4137821
     17.2500000      2.4907453
     17.5000000      2.5696115
     17.7500000      2.6482773
     18.0000000      2.7288465
     18.2500000      2.8040366
     18.5000000      2.8802485
     18.7500000      2.9567308
     19.0000000      3.0334537
     19.2500000      3.1042171
     19.5000000      3.1749997
     19.7500000      3.2465646
     20.0000000      3.3181090
     20.8799992      3.5661635
     25.6399994      4.9276876
     31.4799995      6.4284277
     38.6599998      7.4717889
     47.4799995      7.3845100
     58.3100014      6.1814213
     71.6100006      4.2948790
     87.9400024      2.5705540
    108.0000000      1.4469234
    132.6000061      0.7671251
    162.8999939      0.3622828
    200.0000000      0.1766827
    204.3000031      0.1645204
    303.8999939      0.0430525
    452.0000000      0.0115916
    672.2999878      0.0034261
   1000.0000000      0.0007051
