# hdd   tau_V= 7.25
      0.0100000      0.0000034
      0.0150000      0.0000044
      0.0220000      0.0000069
      0.0330000      0.0000127
      0.0490000      0.0000226
      0.0730000      0.0000227
      0.1000000      0.0000225
      0.1230000      0.0000193
      0.1510000      0.0000214
      0.1850000      0.0000338
      0.2270000      0.0000917
      0.2790000      0.0001236
      0.3430000      0.0001470
      0.4210000      0.0001978
      0.5170000      0.0003405
      0.5500000      0.0004178
      0.6350000      0.0006635
      0.7800000      0.0013019
      0.9580000      0.0023601
      1.1770000      0.0045712
      1.4450001      0.0095465
      1.7740000      0.0204195
      2.1789999      0.0414412
      2.6760001      0.0756270
      3.2860000      0.1261740
      4.0359998      0.1937151
      4.9559999      0.2773851
      6.0000000      0.3721154
      6.2500000      0.3953826
      6.5000000      0.4177084
      6.7500000      0.4413462
      7.0000000      0.4635817
      7.2500000      0.5086038
      7.5000000      0.5516827
      7.7500000      0.5930489
      8.0000000      0.6339744
      8.2500000      0.6944411
      8.5000000      0.7423879
      8.6000004      0.7590466
      8.6999998      0.7748438
      8.8000002      0.7900962
      8.8999996      0.8044231
      9.0000000      0.8181491
      9.1000004      0.8301563
      9.1999998      0.8418590
      9.3000002      0.8528727
      9.3999996      0.8635497
      9.5000000      0.8742589
      9.6000004      0.8888463
      9.6999998      0.9039344
      9.8000002      0.9203206
      9.8999996      0.9372476
     10.0000000      0.9539263
     10.1000004      0.9723679
     10.1999998      0.9905770
     10.3000002      1.0089544
     10.3999996      1.0270834
     10.5000000      1.0453726
     10.6000004      1.0633975
     10.6999998      1.0811459
     10.8000002      1.0994713
     10.8999996      1.1175120
     11.0000000      1.1356971
     11.1000004      1.1544713
     11.1999998      1.1729490
     11.3000002      1.1920234
     11.3999996      1.2126203
     11.5000000      1.2333935
     11.7500000      1.2696215
     12.0000000      1.3125001
     12.2500000      1.3555489
     12.5000000      1.3967348
     12.7500000      1.4364183
     13.0000000      1.4739584
     13.2500000      1.5150442
     13.5000000      1.5539062
     13.7500000      1.5903949
     14.0000000      1.6237983
     14.2500000      1.6767730
     14.5000000      1.7311699
     14.7500000      1.7864283
     15.0000000      1.8431491
     15.2500000      1.9105271
     15.5000000      1.9784858
     15.7500000      2.0488884
     16.0000000      2.1211543
     16.2500000      2.1966145
     16.5000000      2.2733774
     16.7500000      2.3521135
     17.0000000      2.4314904
     17.2500000      2.5094054
     17.5000000      2.5885420
     17.7500000      2.6681893
     18.0000000      2.7490387
     18.2500000      2.8245094
     18.5000000      2.9002607
     18.7500000      2.9770131
     19.0000000      3.0540066
     19.2500000      3.1242690
     19.5000000      3.1945312
     19.7500000      3.2655549
     20.0000000      3.3357370
     20.8799992      3.5803847
     25.6399994      4.9153609
     31.4799995      6.3754573
     38.6599998      7.3711119
     47.4799995      7.2532549
     58.3100014      6.0482612
     71.6100006      4.1887259
     87.9400024      2.5011463
    108.0000000      1.4058174
    132.6000061      0.7448125
    162.8999939      0.3515794
    200.0000000      0.1714744
    204.3000031      0.1596912
    303.8999939      0.0417984
    452.0000000      0.0112602
    672.2999878      0.0033373
   1000.0000000      0.0006815
