# hdd   tau_V= 2.25
      0.0100000      0.0000771
      0.0150000      0.0001328
      0.0220000      0.0002390
      0.0330000      0.0004656
      0.0490000      0.0009080
      0.0730000      0.0015024
      0.1000000      0.0021751
      0.1230000      0.0024792
      0.1510000      0.0029940
      0.1850000      0.0039683
      0.2270000      0.0061561
      0.2790000      0.0074020
      0.3430000      0.0075224
      0.4210000      0.0075244
      0.5170000      0.0084717
      0.5500000      0.0090345
      0.6350000      0.0104968
      0.7800000      0.0134750
      0.9580000      0.0164004
      1.1770000      0.0211822
      1.4450001      0.0295484
      1.7740000      0.0439875
      2.1789999      0.0662430
      2.6760001      0.0949251
      3.2860000      0.1313874
      4.0359998      0.1744729
      4.9559999      0.2239731
      6.0000000      0.2793269
      6.2500000      0.2932192
      6.5000000      0.3062500
      6.7500000      0.3207332
      7.0000000      0.3337340
      7.2500000      0.3688903
      7.5000000      0.4026442
      7.7500000      0.4356270
      8.0000000      0.4695514
      8.2500000      0.5447116
      8.5000000      0.6170673
      8.6000004      0.6453446
      8.6999998      0.6741107
      8.8000002      0.7030129
      8.8999996      0.7327524
      9.0000000      0.7629808
      9.1000004      0.7955210
      9.1999998      0.8274840
      9.3000002      0.8588342
      9.3999996      0.8891587
      9.5000000      0.9184095
      9.6000004      0.9376925
      9.6999998      0.9563983
      9.8000002      0.9725401
      9.8999996      0.9888101
     10.0000000      1.0044072
     10.1000004      1.0164744
     10.1999998      1.0285817
     10.3000002      1.0407292
     10.3999996      1.0525001
     10.5000000      1.0643029
     10.6000004      1.0757133
     10.6999998      1.0871475
     10.8000002      1.0990386
     10.8999996      1.1105249
     11.0000000      1.1224761
     11.1000004      1.1313463
     11.1999998      1.1406412
     11.3000002      1.1499200
     11.3999996      1.1642067
     11.5000000      1.1790266
     11.7500000      1.1891228
     12.0000000      1.2105770
     12.2500000      1.2323619
     12.5000000      1.2520033
     12.7500000      1.2698920
     13.0000000      1.2864584
     13.2500000      1.3101364
     13.5000000      1.3305290
     13.7500000      1.3480070
     14.0000000      1.3618591
     14.2500000      1.4073018
     14.5000000      1.4540664
     14.7500000      1.5021836
     15.0000000      1.5516827
     15.2500000      1.6172577
     15.5000000      1.6853769
     15.7500000      1.7554688
     16.0000000      1.8282053
     16.2500000      1.9069011
     16.5000000      1.9871395
     16.7500000      2.0695915
     17.0000000      2.1536057
     17.2500000      2.2343454
     17.5000000      2.3165064
     17.7500000      2.3979564
     18.0000000      2.4800482
     18.2500000      2.5510519
     18.5000000      2.6215751
     18.7500000      2.6915565
     19.0000000      2.7601767
     19.2500000      2.8142331
     19.5000000      2.8679688
     19.7500000      2.9213543
     20.0000000      2.9735579
     20.8799992      3.1395290
     25.6399994      3.9487247
     31.4799995      4.6236253
     38.6599998      4.7689962
     47.4799995      4.1906428
     58.3100014      3.1631310
     71.6100006      2.0111625
     87.9400024      1.1235604
    108.0000000      0.6036057
    132.6000061      0.3111532
    162.8999939      0.1460618
    200.0000000      0.0715385
    204.3000031      0.0666922
    303.8999939      0.0178980
    452.0000000      0.0049890
    672.2999878      0.0016832
   1000.0000000      0.0002326
