# hdd   tau_V= 1.50
      0.0100000      0.0001139
      0.0150000      0.0002059
      0.0220000      0.0003790
      0.0330000      0.0007449
      0.0490000      0.0014647
      0.0730000      0.0025945
      0.1000000      0.0039748
      0.1230000      0.0047554
      0.1510000      0.0058119
      0.1850000      0.0074119
      0.2270000      0.0104951
      0.2790000      0.0124522
      0.3430000      0.0124200
      0.4210000      0.0119503
      0.5170000      0.0126992
      0.5500000      0.0132873
      0.6350000      0.0148065
      0.7800000      0.0179812
      0.9580000      0.0207989
      1.1770000      0.0254875
      1.4450001      0.0336009
      1.7740000      0.0473280
      2.1789999      0.0678842
      2.6760001      0.0931668
      3.2860000      0.1243045
      4.0359998      0.1597260
      4.9559999      0.1985577
      6.0000000      0.2411058
      6.2500000      0.2516527
      6.5000000      0.2617188
      6.7500000      0.2725962
      7.0000000      0.2826923
      7.2500000      0.3090545
      7.5000000      0.3344351
      7.7500000      0.3598658
      8.0000000      0.3855769
      8.2500000      0.4439003
      8.5000000      0.5006010
      8.6000004      0.5233734
      8.6999998      0.5465385
      8.8000002      0.5700962
      8.8999996      0.5940465
      9.0000000      0.6187500
      9.1000004      0.6456771
      9.1999998      0.6723077
      9.3000002      0.6986179
      9.3999996      0.7242068
      9.5000000      0.7486580
      9.6000004      0.7642308
      9.6999998      0.7791868
      9.8000002      0.7923237
      9.8999996      0.8051682
     10.0000000      0.8177083
     10.1000004      0.8266947
     10.1999998      0.8361058
     10.3000002      0.8451282
     10.3999996      0.8541667
     10.5000000      0.8632212
     10.6000004      0.8718671
     10.6999998      0.8809496
     10.8000002      0.8900481
     10.8999996      0.8987260
     11.0000000      0.9078526
     11.1000004      0.9147717
     11.1999998      0.9216667
     11.3000002      0.9289905
     11.3999996      0.9399520
     11.5000000      0.9518831
     11.7500000      0.9589244
     12.0000000      0.9754808
     12.2500000      0.9923679
     12.5000000      1.0076122
     12.7500000      1.0221455
     13.0000000      1.0348959
     13.2500000      1.0537361
     13.5000000      1.0703727
     13.7500000      1.0846856
     14.0000000      1.0954328
     14.2500000      1.1326923
     14.5000000      1.1711539
     14.7500000      1.2102565
     15.0000000      1.2506011
     15.2500000      1.3044372
     15.5000000      1.3599761
     15.7500000      1.4178786
     16.0000000      1.4775641
     16.2500000      1.5423179
     16.5000000      1.6090145
     16.7500000      1.6763421
     17.0000000      1.7463142
     17.2500000      1.8134618
     17.5000000      1.8811098
     17.7500000      1.9485176
     18.0000000      2.0170677
     18.2500000      2.0750601
     18.5000000      2.1338744
     18.7500000      2.1912563
     19.0000000      2.2478769
     19.2500000      2.2921076
     19.5000000      2.3359373
     19.7500000      2.3793373
     20.0000000      2.4214742
     20.8799992      2.5547886
     25.6399994      3.1926732
     31.4799995      3.6953688
     38.6599998      3.7560301
     47.4799995      3.2509344
     58.3100014      2.4225752
     71.6100006      1.5231471
     87.9400024      0.8427584
    108.0000000      0.4508655
    132.6000061      0.2323157
    162.8999939      0.1099705
    200.0000000      0.0544712
    204.3000031      0.0508376
    303.8999939      0.0139531
    452.0000000      0.0039749
    672.2999878      0.0014211
   1000.0000000      0.0001608
