# hdd   tau_V= 3.00
      0.0100000      0.0000506
      0.0150000      0.0000830
      0.0220000      0.0001460
      0.0330000      0.0002823
      0.0490000      0.0005450
      0.0730000      0.0008403
      0.1000000      0.0011490
      0.1230000      0.0012487
      0.1510000      0.0014894
      0.1850000      0.0020464
      0.2270000      0.0034787
      0.2790000      0.0042431
      0.3430000      0.0043961
      0.4210000      0.0045811
      0.5170000      0.0054766
      0.5500000      0.0059583
      0.6350000      0.0072328
      0.7800000      0.0098469
      0.9580000      0.0126505
      1.1770000      0.0172683
      1.4450001      0.0255133
      1.7740000      0.0401353
      2.1789999      0.0633621
      2.6760001      0.0945713
      3.2860000      0.1353369
      4.0359998      0.1851450
      4.9559999      0.2438288
      6.0000000      0.3105769
      6.2500000      0.3272737
      6.5000000      0.3429688
      6.7500000      0.3599460
      7.0000000      0.3758013
      7.2500000      0.4173979
      7.5000000      0.4570312
      7.7500000      0.4961739
      8.0000000      0.5355769
      8.2500000      0.6210638
      8.5000000      0.7011819
      8.6000004      0.7321716
      8.6999998      0.7633413
      8.8000002      0.7946796
      8.8999996      0.8265305
      9.0000000      0.8585338
      9.1000004      0.8932293
      9.1999998      0.9266347
      9.3000002      0.9594352
      9.3999996      0.9908414
      9.5000000      1.0211741
      9.6000004      1.0423079
      9.6999998      1.0624921
      9.8000002      1.0809054
      9.8999996      1.0986779
     10.0000000      1.1165866
     10.1000004      1.1309896
     10.1999998      1.1450481
     10.3000002      1.1591626
     10.3999996      1.1733334
     10.5000000      1.1871395
     10.6000004      1.2005690
     10.6999998      1.2140385
     10.8000002      1.2275481
     10.8999996      1.2415346
     11.0000000      1.2551283
     11.1000004      1.2660939
     11.1999998      1.2775002
     11.3000002      1.2884536
     11.3999996      1.3048798
     11.5000000      1.3218551
     11.7500000      1.3355269
     12.0000000      1.3610578
     12.2500000      1.3864684
     12.5000000      1.4097557
     12.7500000      1.4313102
     13.0000000      1.4505209
     13.2500000      1.4773538
     13.5000000      1.5009016
     13.7500000      1.5209838
     14.0000000      1.5362983
     14.2500000      1.5865686
     14.5000000      1.6382213
     14.7500000      1.6906952
     15.0000000      1.7451924
     15.2500000      1.8164365
     15.5000000      1.8903047
     15.7500000      1.9662261
     16.0000000      2.0442309
     16.2500000      2.1295574
     16.5000000      2.2158656
     16.7500000      2.3037965
     17.0000000      2.3940308
     17.2500000      2.4810698
     17.5000000      2.5682092
     17.7500000      2.6560998
     18.0000000      2.7432694
     18.2500000      2.8201222
     18.5000000      2.8958137
     18.7500000      2.9710038
     19.0000000      3.0456333
     19.2500000      3.1042171
     19.5000000      3.1632812
     19.7500000      3.2212441
     20.0000000      3.2788460
     20.8799992      3.4624329
     25.6399994      4.3760576
     31.4799995      5.1785612
     38.6599998      5.4241719
     47.4799995      4.8469167
     58.3100014      3.7167957
     71.6100006      2.3956070
     87.9400024      1.3532755
    108.0000000      0.7325482
    132.6000061      0.3789406
    162.8999939      0.1775192
    200.0000000      0.0866186
    204.3000031      0.0806969
    303.8999939      0.0214167
    452.0000000      0.0059017
    672.2999878      0.0019186
   1000.0000000      0.0002986
