# hdd   tau_V= 5.75
      0.0100000      0.0000091
      0.0150000      0.0000128
      0.0220000      0.0000209
      0.0330000      0.0000393
      0.0490000      0.0000717
      0.0730000      0.0000833
      0.1000000      0.0000921
      0.1230000      0.0000857
      0.1510000      0.0000974
      0.1850000      0.0001456
      0.2270000      0.0003350
      0.2790000      0.0004386
      0.3430000      0.0004999
      0.4210000      0.0006185
      0.5170000      0.0009406
      0.5500000      0.0011073
      0.6350000      0.0016033
      0.7800000      0.0027694
      0.9580000      0.0044446
      1.1770000      0.0076015
      1.4450001      0.0140563
      1.7740000      0.0270862
      2.1789999      0.0505814
      2.6760001      0.0864125
      3.2860000      0.1370483
      4.0359998      0.2022851
      4.9559999      0.2809591
      6.0000000      0.3694712
      6.2500000      0.3911258
      6.5000000      0.4119792
      6.7500000      0.4340445
      7.0000000      0.4546074
      7.2500000      0.5019231
      7.5000000      0.5468750
      7.7500000      0.5902544
      8.0000000      0.6333334
      8.2500000      0.7096455
      8.5000000      0.7747396
      8.6000004      0.7983254
      8.6999998      0.8215505
      8.8000002      0.8440385
      8.8999996      0.8661098
      9.0000000      0.8877404
      9.1000004      0.9089063
      9.1999998      0.9292148
      9.3000002      0.9490025
      9.3999996      0.9678686
      9.5000000      0.9861579
      9.6000004      1.0038464
      9.6999998      1.0212982
      9.8000002      1.0392869
      9.8999996      1.0574279
     10.0000000      1.0753206
     10.1000004      1.0933576
     10.1999998      1.1111298
     10.3000002      1.1286258
     10.3999996      1.1462500
     10.5000000      1.1635818
     10.6000004      1.1810337
     10.6999998      1.1981771
     10.8000002      1.2154328
     10.8999996      1.2328005
     11.0000000      1.2498398
     11.1000004      1.2669834
     11.1999998      1.2837821
     11.3000002      1.3002245
     11.3999996      1.3204086
     11.5000000      1.3402846
     11.7500000      1.3694212
     12.0000000      1.4072115
     12.2500000      1.4448719
     12.5000000      1.4808695
     12.7500000      1.5140626
     13.0000000      1.5458335
     13.2500000      1.5819311
     13.5000000      1.6155651
     13.7500000      1.6460336
     14.0000000      1.6731572
     14.2500000      1.7264423
     14.5000000      1.7811298
     14.7500000      1.8372496
     15.0000000      1.8942308
     15.2500000      1.9649040
     15.5000000      2.0374801
     15.7500000      2.1119893
     16.0000000      2.1878207
     16.2500000      2.2688804
     16.5000000      2.3513820
     16.7500000      2.4353268
     17.0000000      2.5207131
     17.2500000      2.6040869
     17.5000000      2.6874003
     17.7500000      2.7720156
     18.0000000      2.8564906
     18.2500000      2.9334536
     18.5000000      3.0099564
     18.7500000      3.0874400
     19.0000000      3.1643832
     19.2500000      3.2306993
     19.5000000      3.2976563
     19.7500000      3.3636720
     20.0000000      3.4302886
     20.8799992      3.6531637
     25.6399994      4.8352356
     31.4799995      6.0563684
     38.6599998      6.7732453
     47.4799995      6.4676280
     58.3100014      5.2609830
     71.6100006      3.5690241
     87.9400024      2.0984402
    108.0000000      1.1678367
    132.6000061      0.6146563
    162.8999939      0.2895129
    200.0000000      0.1411859
    204.3000031      0.1314527
    303.8999939      0.0345175
    452.0000000      0.0093460
    672.2999878      0.0028336
   1000.0000000      0.0005437
