# hdd   tau_V= 6.25
      0.0100000      0.0000066
      0.0150000      0.0000090
      0.0220000      0.0000145
      0.0330000      0.0000271
      0.0490000      0.0000489
      0.0730000      0.0000542
      0.1000000      0.0000577
      0.1230000      0.0000522
      0.1510000      0.0000589
      0.1850000      0.0000896
      0.2270000      0.0002180
      0.2790000      0.0002883
      0.3430000      0.0003335
      0.4210000      0.0004245
      0.5170000      0.0006730
      0.5500000      0.0008034
      0.6350000      0.0011998
      0.7800000      0.0021628
      0.9580000      0.0036136
      1.1770000      0.0064367
      1.4450001      0.0123832
      1.7740000      0.0246981
      2.1789999      0.0474212
      2.6760001      0.0828638
      3.2860000      0.1337571
      4.0359998      0.2001830
      4.9559999      0.2811577
      6.0000000      0.3723558
      6.2500000      0.3946314
      6.5000000      0.4161458
      6.7500000      0.4389123
      7.0000000      0.4599359
      7.2500000      0.5068610
      7.5000000      0.5516827
      7.7500000      0.5946013
      8.0000000      0.6371795
      8.2500000      0.7089844
      8.5000000      0.7686098
      8.6000004      0.7900562
      8.6999998      0.8107452
      8.8000002      0.8309937
      8.8999996      0.8504207
      9.0000000      0.8693511
      9.1000004      0.8877605
      9.1999998      0.9048879
      9.3000002      0.9218030
      9.3999996      0.9377404
      9.5000000      0.9534255
      9.6000004      0.9700001
      9.6999998      0.9867108
      9.8000002      1.0043430
      9.8999996      1.0221273
     10.0000000      1.0396636
     10.1000004      1.0577486
     10.1999998      1.0759856
     10.3000002      1.0939624
     10.3999996      1.1116667
     10.5000000      1.1295073
     10.6000004      1.1470594
     10.6999998      1.1647395
     10.8000002      1.1821156
     10.8999996      1.2000481
     11.0000000      1.2176684
     11.1000004      1.2349640
     11.1999998      1.2523719
     11.3000002      1.2698920
     11.3999996      1.2902646
     11.5000000      1.3103366
     11.7500000      1.3421175
     12.0000000      1.3817308
     12.2500000      1.4213142
     12.5000000      1.4593350
     12.7500000      1.4946517
     13.0000000      1.5281249
     13.2500000      1.5660057
     13.5000000      1.6015024
     13.7500000      1.6339145
     14.0000000      1.6630609
     14.2500000      1.7161659
     14.5000000      1.7706732
     14.7500000      1.8266126
     15.0000000      1.8834136
     15.2500000      1.9526843
     15.5000000      2.0238183
     15.7500000      2.0968451
     16.0000000      2.1717951
     16.2500000      2.2513022
     16.5000000      2.3315506
     16.7500000      2.4138522
     17.0000000      2.4968753
     17.2500000      2.5785160
     17.5000000      2.6600566
     17.7500000      2.7428586
     18.0000000      2.8262022
     18.2500000      2.9020135
     18.5000000      2.9788263
     18.7500000      3.0558896
     19.0000000      3.1324124
     19.2500000      3.1998501
     19.5000000      3.2679687
     19.7500000      3.3351862
     20.0000000      3.4030447
     20.8799992      3.6322498
     25.6399994      4.8629713
     31.4799995      6.1597886
     38.6599998      6.9684033
     47.4799995      6.7244315
     58.3100014      5.5202942
     71.6100006      3.7727230
     87.9400024      2.2312665
    108.0000000      1.2461538
    132.6000061      0.6576875
    162.8999939      0.3100060
    200.0000000      0.1512019
    204.3000031      0.1407837
    303.8999939      0.0369282
    452.0000000      0.0099817
    672.2999878      0.0030033
   1000.0000000      0.0005893
