# norm   tau_V= 4.25
      0.0100000      0.0000180
      0.0150000      0.0000279
      0.0220000      0.0000475
      0.0330000      0.0000907
      0.0490000      0.0001695
      0.0730000      0.0002286
      0.1000000      0.0002831
      0.1230000      0.0002885
      0.1510000      0.0003358
      0.1850000      0.0004708
      0.2270000      0.0009075
      0.2790000      0.0011558
      0.3430000      0.0012604
      0.4210000      0.0014273
      0.5170000      0.0019203
      0.5500000      0.0021669
      0.6350000      0.0028544
      0.7800000      0.0043437
      0.9580000      0.0061756
      1.1770000      0.0094358
      1.4450001      0.0172520
      1.7740000      0.0347764
      2.1789999      0.0650644
      2.6760001      0.1060537
      3.2860000      0.1566643
      4.0359998      0.2202336
      4.9559999      0.3037933
      6.0000000      0.3985577
      6.2500000      0.4226763
      6.5000000      0.4479167
      6.7500000      0.4743390
      7.0000000      0.4975161
      7.2500000      0.5361980
      7.5000000      0.5769231
      7.7500000      0.6181992
      8.0000000      0.6631411
      8.2500000      0.7337741
      8.5000000      0.7978967
      8.6000004      0.8227886
      8.6999998      0.8473438
      8.8000002      0.8718911
      8.8999996      0.8957051
      9.0000000      0.9198318
      9.1000004      0.9442709
      9.1999998      0.9682853
      9.3000002      0.9914784
      9.3999996      1.0141908
      9.5000000      1.0363984
      9.6000004      1.0557694
      9.6999998      1.0753165
      9.8000002      1.0946475
      9.8999996      1.1137501
     10.0000000      1.1326122
     10.1000004      1.1512220
     10.1999998      1.1691587
     10.3000002      1.1872236
     10.3999996      1.2050000
     10.5000000      1.2224760
     10.6000004      1.2400643
     10.6999998      1.2573358
     10.8000002      1.2747117
     10.8999996      1.2921914
     11.0000000      1.3093350
     11.1000004      1.3261300
     11.1999998      1.3430128
     11.3000002      1.3595314
     11.3999996      1.3793268
     11.5000000      1.3992590
     11.7500000      1.4306191
     12.0000000      1.4697115
     12.2500000      1.5091647
     12.5000000      1.5464745
     12.7500000      1.5820013
     13.0000000      1.6151042
     13.2500000      1.6520034
     13.5000000      1.6869593
     13.7500000      1.7187501
     14.0000000      1.7471957
     14.2500000      1.7983774
     14.5000000      1.8520033
     14.7500000      1.9052083
     15.0000000      1.9591347
     15.2500000      2.0247798
     15.5000000      2.0921276
     15.7500000      2.1618390
     16.0000000      2.2333333
     16.2500000      2.3098960
     16.5000000      2.3884015
     16.7500000      2.4682093
     17.0000000      2.5486379
     17.2500000      2.6275845
     17.5000000      2.7077327
     17.7500000      2.7876601
     18.0000000      2.8680291
     18.2500000      2.9400339
     18.5000000      3.0129209
     18.7500000      3.0851862
     19.0000000      3.1575322
     19.2500000      3.2191308
     19.5000000      3.2796876
     19.7500000      3.3407254
     20.0000000      3.4006414
     20.8799992      3.5979519
     25.6399994      4.5876698
     31.4799995      5.5077386
     38.6599998      5.9306555
     47.4799995      5.4480252
     58.3100014      4.3428802
     71.6100006      2.9952261
     87.9400024      1.7912139
    108.0000000      0.9830769
    132.6000061      0.5155782
    162.8999939      0.2468953
    200.0000000      0.1209936
    204.3000031      0.1125451
    303.8999939      0.0290263
    452.0000000      0.0074482
    672.2999878      0.0019097
   1000.0000000      0.0003437
