# norm   tau_V= 4.75
      0.0100000      0.0000133
      0.0150000      0.0000198
      0.0220000      0.0000332
      0.0330000      0.0000631
      0.0490000      0.0001174
      0.0730000      0.0001507
      0.1000000      0.0001795
      0.1230000      0.0001770
      0.1510000      0.0002045
      0.1850000      0.0002948
      0.2270000      0.0006066
      0.2790000      0.0007768
      0.3430000      0.0008586
      0.4210000      0.0010012
      0.5170000      0.0013983
      0.5500000      0.0016006
      0.6350000      0.0021757
      0.7800000      0.0034500
      0.9580000      0.0051086
      1.1770000      0.0080777
      1.4450001      0.0153126
      1.7740000      0.0318055
      2.1789999      0.0609614
      2.6760001      0.1014757
      3.2860000      0.1527148
      4.0359998      0.2179699
      4.9559999      0.3035947
      6.0000000      0.4012019
      6.2500000      0.4261819
      6.5000000      0.4518230
      6.7500000      0.4789363
      7.0000000      0.5028446
      7.2500000      0.5420072
      7.5000000      0.5832332
      7.7500000      0.6247196
      8.0000000      0.6698719
      8.2500000      0.7374099
      8.5000000      0.7985777
      8.6000004      0.8217549
      8.6999998      0.8445554
      8.8000002      0.8673078
      8.8999996      0.8892869
      9.0000000      0.9115385
      9.1000004      0.9336981
      9.1999998      0.9550160
      9.3000002      0.9758295
      9.3999996      0.9961138
      9.5000000      1.0162261
      9.6000004      1.0353848
      9.6999998      1.0539424
      9.8000002      1.0730529
      9.8999996      1.0919350
     10.0000000      1.1109775
     10.1000004      1.1297756
     10.1999998      1.1483172
     10.3000002      1.1670033
     10.3999996      1.1854167
     10.5000000      1.2031251
     10.6000004      1.2213783
     10.6999998      1.2393309
     10.8000002      1.2574040
     10.8999996      1.2751603
     11.0000000      1.2930290
     11.1000004      1.3105650
     11.1999998      1.3282052
     11.3000002      1.3454969
     11.3999996      1.3660818
     11.5000000      1.3863583
     11.7500000      1.4197919
     12.0000000      1.4615384
     12.2500000      1.5022937
     12.5000000      1.5419673
     12.7500000      1.5799580
     13.0000000      1.6151042
     13.2500000      1.6535959
     13.5000000      1.6902044
     13.7500000      1.7242589
     14.0000000      1.7544873
     14.2500000      1.8069412
     14.5000000      1.8607174
     14.7500000      1.9146637
     15.0000000      1.9693511
     15.2500000      2.0345554
     15.5000000      2.1026845
     15.7500000      2.1725662
     16.0000000      2.2442310
     16.2500000      2.3203127
     16.5000000      2.3983173
     16.7500000      2.4776044
     17.0000000      2.5581732
     17.2500000      2.6365688
     17.5000000      2.7161460
     17.7500000      2.7961943
     18.0000000      2.8766830
     18.2500000      2.9495392
     18.5000000      3.0225563
     18.7500000      3.0957031
     19.0000000      3.1697116
     19.2500000      3.2330132
     19.5000000      3.2953124
     19.7500000      3.3581333
     20.0000000      3.4206731
     20.8799992      3.6263940
     25.6399994      4.6749859
     31.4799995      5.6729589
     38.6599998      6.1722798
     47.4799995      5.7276554
     58.3100014      4.5998559
     71.6100006      3.1845796
     87.9400024      1.9092423
    108.0000000      1.0510097
    132.6000061      0.5519689
    162.8999939      0.2641251
    200.0000000      0.1293269
    204.3000031      0.1202391
    303.8999939      0.0310109
    452.0000000      0.0079661
    672.2999878      0.0020457
   1000.0000000      0.0003810
