# norm   tau_V= 1.50
      0.0100000      0.0000874
      0.0150000      0.0001581
      0.0220000      0.0002910
      0.0330000      0.0005719
      0.0490000      0.0011247
      0.0730000      0.0019920
      0.1000000      0.0030521
      0.1230000      0.0036516
      0.1510000      0.0044628
      0.1850000      0.0056930
      0.2270000      0.0080578
      0.2790000      0.0095593
      0.3430000      0.0095369
      0.4210000      0.0091756
      0.5170000      0.0097497
      0.5500000      0.0102023
      0.6350000      0.0113695
      0.7800000      0.0138094
      0.9580000      0.0159820
      1.1770000      0.0196167
      1.4450001      0.0290968
      1.7740000      0.0496592
      2.1789999      0.0813109
      2.6760001      0.1178255
      3.2860000      0.1567959
      4.0359998      0.2030936
      4.9559999      0.2652731
      6.0000000      0.3343750
      6.2500000      0.3523137
      6.5000000      0.3718750
      6.7500000      0.3921274
      7.0000000      0.4091747
      7.2500000      0.4342448
      7.5000000      0.4627404
      7.7500000      0.4921374
      8.0000000      0.5269231
      8.2500000      0.5830529
      8.5000000      0.6381811
      8.6000004      0.6601602
      8.6999998      0.6831731
      8.8000002      0.7058334
      8.8999996      0.7288302
      9.0000000      0.7521635
      9.1000004      0.7776564
      9.1999998      0.8024200
      9.3000002      0.8267909
      9.3999996      0.8507452
      9.5000000      0.8742589
      9.6000004      0.8915386
      9.6999998      0.9078206
      9.8000002      0.9230690
      9.8999996      0.9380409
     10.0000000      0.9527243
     10.1000004      0.9650841
     10.1999998      0.9775000
     10.3000002      0.9895594
     10.3999996      1.0016667
     10.5000000      1.0129808
     10.6000004      1.0247517
     10.6999998      1.0361338
     10.8000002      1.0479809
     10.8999996      1.0594311
     11.0000000      1.0704728
     11.1000004      1.0806491
     11.1999998      1.0908333
     11.3000002      1.1010257
     11.3999996      1.1144232
     11.5000000      1.1278846
     11.7500000      1.1458133
     12.0000000      1.1706731
     12.2500000      1.1960437
     12.5000000      1.2199520
     12.7500000      1.2428185
     13.0000000      1.2630209
     13.2500000      1.2867790
     13.5000000      1.3094351
     13.7500000      1.3292770
     14.0000000      1.3461540
     14.2500000      1.3833234
     14.5000000      1.4215344
     14.7500000      1.4590446
     15.0000000      1.4969952
     15.2500000      1.5445513
     15.5000000      1.5940908
     15.7500000      1.6450422
     16.0000000      1.6980771
     16.2500000      1.7552085
     16.5000000      1.8146036
     16.7500000      1.8743089
     17.0000000      1.9356574
     17.2500000      1.9952227
     17.5000000      2.0549881
     17.7500000      2.1149237
     18.0000000      2.1750002
     18.2500000      2.2278745
     18.5000000      2.2798879
     18.7500000      2.3317311
     19.0000000      2.3841348
     19.2500000      2.4263022
     19.5000000      2.4671876
     19.7500000      2.5075221
     20.0000000      2.5472758
     20.8799992      2.6710675
     25.6399994      3.2471170
     31.4799995      3.6915851
     38.6599998      3.7637744
     47.4799995      3.2775657
     58.3100014      2.5253654
     71.6100006      1.7414774
     87.9400024      1.0421736
    108.0000000      0.5629327
    132.6000061      0.2945250
    162.8999939      0.1441691
    200.0000000      0.0717308
    204.3000031      0.0667495
    303.8999939      0.0174718
    452.0000000      0.0044512
    672.2999878      0.0011243
   1000.0000000      0.0001322
