# norm   tau_V= 0.75
      0.0100000      0.0001234
      0.0150000      0.0002346
      0.0220000      0.0004413
      0.0330000      0.0008746
      0.0490000      0.0017295
      0.0730000      0.0032581
      0.1000000      0.0052684
      0.1230000      0.0066231
      0.1510000      0.0081852
      0.1850000      0.0100060
      0.2270000      0.0129325
      0.2790000      0.0151796
      0.3430000      0.0149101
      0.4210000      0.0138596
      0.5170000      0.0139752
      0.5500000      0.0143692
      0.6350000      0.0154196
      0.7800000      0.0178094
      0.9580000      0.0196705
      1.1770000      0.0229741
      1.4450001      0.0324141
      1.7740000      0.0531347
      2.1789999      0.0842442
      2.6760001      0.1183616
      3.2860000      0.1528464
      4.0359998      0.1925832
      4.9559999      0.2466087
      6.0000000      0.3050481
      6.2500000      0.3200121
      6.5000000      0.3369792
      6.7500000      0.3545373
      7.0000000      0.3690706
      7.2500000      0.3860276
      7.5000000      0.4068510
      7.7500000      0.4291066
      8.0000000      0.4564103
      8.2500000      0.4954628
      8.5000000      0.5343149
      8.6000004      0.5502485
      8.6999998      0.5667548
      8.8000002      0.5827885
      8.8999996      0.5993950
      9.0000000      0.6162260
      9.1000004      0.6340104
      9.1999998      0.6520353
      9.3000002      0.6695554
      9.3999996      0.6865466
      9.5000000      0.7037461
      9.6000004      0.7161540
      9.6999998      0.7286660
      9.8000002      0.7397115
      9.8999996      0.7508293
     10.0000000      0.7616186
     10.1000004      0.7712580
     10.1999998      0.7805289
     10.3000002      0.7898318
     10.3999996      0.7987500
     10.5000000      0.8072717
     10.6000004      0.8158094
     10.6999998      0.8243631
     10.8000002      0.8329327
     10.8999996      0.8419551
     11.0000000      0.8496795
     11.1000004      0.8574039
     11.1999998      0.8651282
     11.3000002      0.8733054
     11.3999996      0.8828606
     11.5000000      0.8929088
     11.7500000      0.9076123
     12.0000000      0.9274038
     12.2500000      0.9467248
     12.5000000      0.9655449
     12.7500000      0.9833233
     13.0000000      0.9994792
     13.2500000      1.0171074
     13.5000000      1.0341347
     13.7500000      1.0499800
     14.0000000      1.0634617
     14.2500000      1.0881610
     14.5000000      1.1148038
     14.7500000      1.1399339
     15.0000000      1.1646636
     15.2500000      1.1956831
     15.5000000      1.2277044
     15.7500000      1.2607573
     16.0000000      1.2948718
     16.2500000      1.3313802
     16.5000000      1.3697116
     16.7500000      1.4085838
     17.0000000      1.4473159
     17.2500000      1.4858776
     17.5000000      1.5242388
     17.7500000      1.5623697
     18.0000000      1.6009617
     18.2500000      1.6341648
     18.5000000      1.6684097
     18.7500000      1.7014726
     19.0000000      1.7348158
     19.2500000      1.7614986
     19.5000000      1.7882812
     19.7500000      1.8135818
     20.0000000      1.8389424
     20.8799992      1.9165096
     25.6399994      2.2619905
     31.4799995      2.5098238
     38.6599998      2.5355139
     47.4799995      2.2027981
     58.3100014      1.7219673
     71.6100006      1.2359612
     87.9400024      0.7617239
    108.0000000      0.4132212
    132.6000061      0.2188219
    162.8999939      0.1099705
    200.0000000      0.0556891
    204.3000031      0.0518690
    303.8999939      0.0138192
    452.0000000      0.0035168
    672.2999878      0.0008819
   1000.0000000      0.0000676
