# norm   tau_V= 9.50
      0.0100000      0.0000006
      0.0150000      0.0000007
      0.0220000      0.0000010
      0.0330000      0.0000018
      0.0490000      0.0000031
      0.0730000      0.0000026
      0.1000000      0.0000022
      0.1230000      0.0000017
      0.1510000      0.0000018
      0.1850000      0.0000032
      0.2270000      0.0000109
      0.2790000      0.0000151
      0.3430000      0.0000188
      0.4210000      0.0000282
      0.5170000      0.0000574
      0.5500000      0.0000745
      0.6350000      0.0001347
      0.7800000      0.0003162
      0.9580000      0.0006824
      1.1770000      0.0015873
      1.4450001      0.0042968
      1.7740000      0.0118409
      2.1789999      0.0285645
      2.6760001      0.0578085
      3.2860000      0.1025954
      4.0359998      0.1671965
      4.9559999      0.2565365
      6.0000000      0.3632211
      6.2500000      0.3906250
      6.5000000      0.4187500
      6.7500000      0.4478365
      7.0000000      0.4756411
      7.2500000      0.5068610
      7.5000000      0.5408654
      7.7500000      0.5753506
      8.0000000      0.6112180
      8.2500000      0.6323017
      8.5000000      0.6456732
      8.6000004      0.6498238
      8.6999998      0.6531971
      8.8000002      0.6557693
      8.8999996      0.6582292
      9.0000000      0.6598558
      9.1000004      0.6584376
      9.1999998      0.6575641
      9.3000002      0.6572597
      9.3999996      0.6575481
      9.5000000      0.6588342
      9.6000004      0.6692308
      9.6999998      0.6808654
      9.8000002      0.6949519
      9.8999996      0.7099760
     10.0000000      0.7251602
     10.1000004      0.7437420
     10.1999998      0.7625481
     10.3000002      0.7815786
     10.3999996      0.8004167
     10.5000000      0.8194712
     10.6000004      0.8387421
     10.6999998      0.8578005
     10.8000002      0.8770674
     10.8999996      0.8965425
     11.0000000      0.9162261
     11.1000004      0.9383414
     11.1999998      0.9607052
     11.3000002      0.9828647
     11.3999996      1.0052645
     11.5000000      1.0274440
     11.7500000      1.0775542
     12.0000000      1.1322116
     12.2500000      1.1877004
     12.5000000      1.2424880
     12.7500000      1.2969652
     13.0000000      1.3500000
     13.2500000      1.4030349
     13.5000000      1.4565507
     13.7500000      1.5088644
     14.0000000      1.5604168
     14.2500000      1.6151143
     14.5000000      1.6713341
     14.7500000      1.7291067
     15.0000000      1.7872597
     15.2500000      1.8475963
     15.5000000      1.9101764
     15.7500000      1.9737982
     16.0000000      2.0397437
     16.2500000      2.1061199
     16.5000000      2.1748800
     16.7500000      2.2447417
     17.0000000      2.3163862
     17.2500000      2.3877709
     17.5000000      2.4609377
     17.7500000      2.5352063
     18.0000000      2.6112981
     18.2500000      2.6863182
     18.5000000      2.7638824
     18.7500000      2.8417971
     19.0000000      2.9223161
     19.2500000      3.0008714
     19.5000000      3.0796876
     19.7500000      3.1603167
     20.0000000      3.2403846
     20.8799992      3.5276828
     25.6399994      5.1167011
     31.4799995      6.8824668
     38.6599998      8.1889200
     47.4799995      8.2272034
     58.3100014      7.0154228
     71.6100006      5.0350790
     87.9400024      3.0937548
    108.0000000      1.7459136
    132.6000061      0.9286252
    162.8999939      0.4426886
    200.0000000      0.2160257
    204.3000031      0.2009441
    303.8999939      0.0516727
    452.0000000      0.0133699
    672.2999878      0.0034692
   1000.0000000      0.0007660
