# norm   tau_V= 6.75
      0.0100000      0.0000036
      0.0150000      0.0000048
      0.0220000      0.0000077
      0.0330000      0.0000143
      0.0490000      0.0000256
      0.0730000      0.0000270
      0.1000000      0.0000277
      0.1230000      0.0000244
      0.1510000      0.0000273
      0.1850000      0.0000423
      0.2270000      0.0001084
      0.2790000      0.0001449
      0.3430000      0.0001700
      0.4210000      0.0002226
      0.5170000      0.0003679
      0.5500000      0.0004451
      0.6350000      0.0006856
      0.7800000      0.0012891
      0.9580000      0.0022453
      1.1770000      0.0041945
      1.4450001      0.0092860
      1.7740000      0.0217912
      2.1789999      0.0460768
      2.6760001      0.0833677
      3.2860000      0.1345470
      4.0359998      0.2029319
      4.9559999      0.2938654
      6.0000000      0.3987981
      6.2500000      0.4254307
      6.5000000      0.4528646
      6.7500000      0.4813702
      7.0000000      0.5076122
      7.2500000      0.5452024
      7.5000000      0.5850360
      7.7500000      0.6250301
      8.0000000      0.6673077
      8.2500000      0.7179087
      8.5000000      0.7594151
      8.6000004      0.7748960
      8.6999998      0.7894832
      8.8000002      0.8031411
      8.8999996      0.8165464
      9.0000000      0.8293270
      9.1000004      0.8407293
      9.1999998      0.8514425
      9.3000002      0.8621876
      9.3999996      0.8729648
      9.5000000      0.8837742
      9.6000004      0.8992309
      9.6999998      0.9148158
      9.8000002      0.9320993
      9.8999996      0.9495433
     10.0000000      0.9675481
     10.1000004      0.9869352
     10.1999998      1.0065144
     10.3000002      1.0258735
     10.3999996      1.0450000
     10.5000000      1.0643029
     10.6000004      1.0833575
     10.6999998      1.1025801
     10.8000002      1.1219712
     10.8999996      1.1410937
     11.0000000      1.1603767
     11.1000004      1.1807092
     11.1999998      1.2007693
     11.3000002      1.2209977
     11.3999996      1.2427645
     11.5000000      1.2642628
     11.7500000      1.3068109
     12.0000000      1.3552884
     12.2500000      1.4031551
     12.5000000      1.4503206
     12.7500000      1.4956732
     13.0000000      1.5390627
     13.2500000      1.5840546
     13.5000000      1.6280050
     13.7500000      1.6697216
     14.0000000      1.7090546
     14.2500000      1.7624099
     14.5000000      1.8171475
     14.7500000      1.8727065
     15.0000000      1.9290868
     15.2500000      1.9923979
     15.5000000      2.0579729
     15.7500000      2.1252406
     16.0000000      2.1942310
     16.2500000      2.2662764
     16.5000000      2.3401442
     16.7500000      2.4151945
     17.0000000      2.4914262
     17.2500000      2.5674582
     17.5000000      2.6439304
     17.7500000      2.7208133
     18.0000000      2.7995195
     18.2500000      2.8727663
     18.5000000      2.9476969
     18.7500000      3.0228367
     19.0000000      3.0989184
     19.2500000      3.1682293
     19.5000000      3.2382815
     19.7500000      3.3074920
     20.0000000      3.3774040
     20.8799992      3.6171925
     25.6399994      4.8876252
     31.4799995      6.2039313
     38.6599998      7.0334568
     47.4799995      6.7776942
     58.3100014      5.5997233
     71.6100006      3.9419930
     87.9400024      2.3898118
    108.0000000      1.3318270
    132.6000061      0.7039064
    162.8999939      0.3359812
    200.0000000      0.1641827
    204.3000031      0.1526521
    303.8999939      0.0393146
    452.0000000      0.0101374
    672.2999878      0.0026181
   1000.0000000      0.0005361
