# norm   tau_V= 2.00
      0.0100000      0.0000677
      0.0150000      0.0001186
      0.0220000      0.0002151
      0.0330000      0.0004203
      0.0490000      0.0008220
      0.0730000      0.0013919
      0.1000000      0.0020533
      0.1230000      0.0023787
      0.1510000      0.0028839
      0.1850000      0.0037749
      0.2270000      0.0056786
      0.2790000      0.0067973
      0.3430000      0.0068641
      0.4210000      0.0067772
      0.5170000      0.0074816
      0.5500000      0.0079283
      0.6350000      0.0090823
      0.7800000      0.0114438
      0.9580000      0.0136983
      1.1770000      0.0174239
      1.4450001      0.0267753
      1.7740000      0.0469939
      2.1789999      0.0786919
      2.6760001      0.1164317
      3.2860000      0.1579808
      4.0359998      0.2082680
      4.9559999      0.2753995
      6.0000000      0.3512019
      6.2500000      0.3705930
      6.5000000      0.3916667
      6.7500000      0.4134916
      7.0000000      0.4321715
      7.2500000      0.4618390
      7.5000000      0.4942909
      7.7500000      0.5278446
      8.0000000      0.5663462
      8.2500000      0.6306490
      8.5000000      0.6930088
      8.6000004      0.7177004
      8.6999998      0.7434736
      8.8000002      0.7689424
      8.8999996      0.7944391
      9.0000000      0.8206732
      9.1000004      0.8487502
      9.1999998      0.8761379
      9.3000002      0.9031732
      9.3999996      0.9294552
      9.5000000      0.9553286
      9.6000004      0.9746155
      9.6999998      0.9929287
      9.8000002      1.0098398
      9.8999996      1.0264903
     10.0000000      1.0428686
     10.1000004      1.0569392
     10.1999998      1.0710818
     10.3000002      1.0848839
     10.3999996      1.0983334
     10.5000000      1.1114184
     10.6000004      1.1245514
     10.6999998      1.1377324
     10.8000002      1.1509616
     10.8999996      1.1642389
     11.0000000      1.1771235
     11.1000004      1.1887141
     11.1999998      1.2003206
     11.3000002      1.2119433
     11.3999996      1.2267789
     11.5000000      1.2421477
     11.7500000      1.2620894
     12.0000000      1.2903848
     12.2500000      1.3182492
     12.5000000      1.3451523
     12.7500000      1.3705230
     13.0000000      1.3932294
     13.2500000      1.4200222
     13.5000000      1.4451923
     13.7500000      1.4675483
     14.0000000      1.4869392
     14.2500000      1.5289062
     14.5000000      1.5725762
     14.7500000      1.6162360
     15.0000000      1.6592549
     15.2500000      1.7144032
     15.5000000      1.7716948
     15.7500000      1.8305591
     16.0000000      1.8916668
     16.2500000      1.9576824
     16.5000000      2.0254807
     16.7500000      2.0944211
     17.0000000      2.1645031
     17.2500000      2.2329631
     17.5000000      2.3010819
     17.7500000      2.3702226
     18.0000000      2.4396636
     18.2500000      2.4998698
     18.5000000      2.5607975
     18.7500000      2.6209435
     19.0000000      2.6810100
     19.2500000      2.7286260
     19.5000000      2.7765627
     19.7500000      2.8232372
     20.0000000      2.8693910
     20.8799992      3.0148845
     25.6399994      3.7032135
     31.4799995      4.2540884
     38.6599998      4.3755813
     47.4799995      3.8387275
     58.3100014      2.9598868
     71.6100006      2.0243599
     87.9400024      1.2035379
    108.0000000      0.6503366
    132.6000061      0.3395750
    162.8999939      0.1646621
    200.0000000      0.0814103
    204.3000031      0.0757531
    303.8999939      0.0197121
    452.0000000      0.0050252
    672.2999878      0.0012738
   1000.0000000      0.0001728
