# norm   tau_V= 6.00
      0.0100000      0.0000059
      0.0150000      0.0000083
      0.0220000      0.0000134
      0.0330000      0.0000251
      0.0490000      0.0000456
      0.0730000      0.0000517
      0.1000000      0.0000561
      0.1230000      0.0000516
      0.1510000      0.0000584
      0.1850000      0.0000879
      0.2270000      0.0002079
      0.2790000      0.0002735
      0.3430000      0.0003141
      0.4210000      0.0003942
      0.5170000      0.0006119
      0.5500000      0.0007252
      0.6350000      0.0010662
      0.7800000      0.0018803
      0.9580000      0.0030797
      1.1770000      0.0053993
      1.4450001      0.0112543
      1.7740000      0.0252241
      2.1789999      0.0514021
      2.6760001      0.0901864
      3.2860000      0.1419194
      4.0359998      0.2097232
      4.9559999      0.2998221
      6.0000000      0.4028847
      6.2500000      0.4291867
      6.5000000      0.4559896
      6.7500000      0.4843450
      7.0000000      0.5098558
      7.2500000      0.5486879
      7.5000000      0.5895433
      7.7500000      0.6306190
      8.0000000      0.6746796
      8.2500000      0.7324520
      8.5000000      0.7822316
      8.6000004      0.8003927
      8.6999998      0.8184134
      8.8000002      0.8355770
      8.8999996      0.8525600
      9.0000000      0.8689905
      9.1000004      0.8841147
      9.1999998      0.8989905
      9.3000002      0.9136059
      9.3999996      0.9279488
      9.5000000      0.9420073
      9.6000004      0.9588463
      9.6999998      0.9758295
      9.8000002      0.9937420
      9.8999996      1.0122116
     10.0000000      1.0304488
     10.1000004      1.0500602
     10.1999998      1.0690384
     10.3000002      1.0885979
     10.3999996      1.1075000
     10.5000000      1.1265625
     10.6000004      1.1453607
     10.6999998      1.1643109
     10.8000002      1.1829809
     10.8999996      1.2022316
     11.0000000      1.2207533
     11.1000004      1.2403007
     11.1999998      1.2595514
     11.3000002      1.2789464
     11.3999996      1.3003126
     11.5000000      1.3213944
     11.7500000      1.3609475
     12.0000000      1.4067308
     12.2500000      1.4522336
     12.5000000      1.4968951
     12.7500000      1.5396035
     13.0000000      1.5796876
     13.2500000      1.6222757
     13.5000000      1.6637020
     13.7500000      1.7022235
     14.0000000      1.7382212
     14.2500000      1.7915266
     14.5000000      1.8461939
     14.7500000      1.9010717
     15.0000000      1.9567307
     15.2500000      2.0211139
     15.5000000      2.0877805
     15.7500000      2.1555290
     16.0000000      2.2256413
     16.2500000      2.2994792
     16.5000000      2.3751805
     16.7500000      2.4514325
     17.0000000      2.5295675
     17.2500000      2.6061602
     17.5000000      2.6838944
     17.7500000      2.7620592
     18.0000000      2.8413463
     18.2500000      2.9144435
     18.5000000      2.9884617
     18.7500000      3.0626502
     19.0000000      3.1377406
     19.2500000      3.2052488
     19.5000000      3.2718751
     19.7500000      3.3391428
     20.0000000      3.4062500
     20.8799992      3.6322498
     25.6399994      4.8146906
     31.4799995      6.0084424
     38.6599998      6.7112899
     47.4799995      6.3839297
     58.3100014      5.2236047
     71.6100006      3.6550937
     87.9400024      2.2076607
    108.0000000      1.2253847
    132.6000061      0.6465313
    162.8999939      0.3087660
    200.0000000      0.1509615
    204.3000031      0.1403744
    303.8999939      0.0361734
    452.0000000      0.0093171
    672.2999878      0.0024018
   1000.0000000      0.0004772
