# norm   tau_V= 1.00
      0.0100000      0.0001106
      0.0150000      0.0002068
      0.0220000      0.0003863
      0.0330000      0.0007635
      0.0490000      0.0015075
      0.0730000      0.0027852
      0.1000000      0.0044271
      0.1230000      0.0054700
      0.1510000      0.0067393
      0.1850000      0.0083606
      0.2270000      0.0111317
      0.2790000      0.0131117
      0.3430000      0.0129381
      0.4210000      0.0121560
      0.5170000      0.0124631
      0.5500000      0.0128862
      0.6350000      0.0139949
      0.7800000      0.0164250
      0.9580000      0.0184154
      1.1770000      0.0218566
      1.4450001      0.0313431
      1.7740000      0.0520544
      2.1789999      0.0834148
      2.6760001      0.1183616
      3.2860000      0.1544262
      4.0359998      0.1964639
      4.9559999      0.2531611
      6.0000000      0.3153847
      6.2500000      0.3315305
      6.5000000      0.3492188
      6.7500000      0.3677885
      7.0000000      0.3830930
      7.2500000      0.4028746
      7.5000000      0.4263822
      7.7500000      0.4511518
      8.0000000      0.4814103
      8.2500000      0.5265325
      8.5000000      0.5717749
      8.6000004      0.5898719
      8.6999998      0.6085817
      8.8000002      0.6275642
      8.8999996      0.6464624
      9.0000000      0.6659856
      9.1000004      0.6868751
      9.1999998      0.7073238
      9.3000002      0.7273078
      9.3999996      0.7471796
      9.5000000      0.7669271
      9.6000004      0.7811539
      9.6999998      0.7951202
      9.8000002      0.8080288
      9.8999996      0.8202403
     10.0000000      0.8325321
     10.1000004      0.8432853
     10.1999998      0.8536779
     10.3000002      0.8636980
     10.3999996      0.8737500
     10.5000000      0.8834135
     10.6000004      0.8931010
     10.6999998      0.9028125
     10.8000002      0.9125481
     10.8999996      0.9223077
     11.0000000      0.9316507
     11.1000004      0.9401203
     11.1999998      0.9485898
     11.3000002      0.9575121
     11.3999996      0.9682693
     11.5000000      0.9795273
     11.7500000      0.9951724
     12.0000000      1.0168269
     12.2500000      1.0385016
     12.5000000      1.0591948
     12.7500000      1.0788462
     13.0000000      1.0963542
     13.2500000      1.1163762
     13.5000000      1.1352766
     13.7500000      1.1524440
     14.0000000      1.1672277
     14.2500000      1.1966347
     14.5000000      1.2275040
     14.7500000      1.2581230
     15.0000000      1.2872597
     15.2500000      1.3245995
     15.5000000      1.3637021
     15.7500000      1.4033655
     16.0000000      1.4448720
     16.2500000      1.4895834
     16.5000000      1.5362982
     16.7500000      1.5830630
     17.0000000      1.6305289
     17.2500000      1.6766227
     17.5000000      1.7233574
     17.7500000      1.7707332
     18.0000000      1.8173078
     18.2500000      1.8586339
     18.5000000      1.8989184
     18.7500000      1.9396034
     19.0000000      1.9806893
     19.2500000      2.0129209
     19.5000000      2.0453124
     19.7500000      2.0762823
     20.0000000      2.1073718
     20.8799992      2.2026060
     25.6399994      2.6338525
     31.4799995      2.9525113
     38.6599998      2.9893353
     47.4799995      2.5946603
     58.3100014      2.0104804
     71.6100006      1.4155599
     87.9400024      0.8603746
    108.0000000      0.4655770
    132.6000061      0.2451719
    162.8999939      0.1217834
    200.0000000      0.0612340
    204.3000031      0.0570092
    303.8999939      0.0150732
    452.0000000      0.0038373
    672.2999878      0.0009651
   1000.0000000      0.0000896
