# norm   tau_V= 3.25
      0.0100000      0.0000337
      0.0150000      0.0000544
      0.0220000      0.0000949
      0.0330000      0.0001831
      0.0490000      0.0003520
      0.0730000      0.0005300
      0.1000000      0.0007107
      0.1230000      0.0007609
      0.1510000      0.0009038
      0.1850000      0.0012548
      0.2270000      0.0021982
      0.2790000      0.0026950
      0.3430000      0.0028130
      0.4210000      0.0029720
      0.5170000      0.0036269
      0.5500000      0.0039730
      0.6350000      0.0048973
      0.7800000      0.0068062
      0.9580000      0.0089237
      1.1770000      0.0124773
      1.4450001      0.0210150
      1.7740000      0.0396663
      2.1789999      0.0703985
      2.6760001      0.1097846
      3.2860000      0.1564010
      4.0359998      0.2145742
      4.9559999      0.2924755
      6.0000000      0.3814904
      6.2500000      0.4043970
      6.5000000      0.4283854
      6.7500000      0.4535157
      7.0000000      0.4753606
      7.2500000      0.5126703
      7.5000000      0.5519832
      7.7500000      0.5924280
      8.0000000      0.6368589
      8.2500000      0.7112981
      8.5000000      0.7815505
      8.6000004      0.8090065
      8.6999998      0.8368871
      8.8000002      0.8641347
      8.8999996      0.8917828
      9.0000000      0.9194713
      9.1000004      0.9486459
      9.1999998      0.9771314
      9.3000002      1.0048919
      9.3999996      1.0318910
      9.5000000      1.0584737
      9.6000004      1.0792310
      9.6999998      1.0997998
      9.8000002      1.1189904
      9.8999996      1.1383414
     10.0000000      1.1570513
     10.1000004      1.1742870
     10.1999998      1.1912260
     10.3000002      1.2078565
     10.3999996      1.2241666
     10.5000000      1.2401443
     10.6000004      1.2566267
     10.6999998      1.2723398
     10.8000002      1.2885579
     10.8999996      1.3044192
     11.0000000      1.3203527
     11.1000004      1.3345795
     11.1999998      1.3492950
     11.3000002      1.3640586
     11.3999996      1.3820673
     11.5000000      1.4001805
     11.7500000      1.4259115
     12.0000000      1.4605769
     12.2500000      1.4944412
     12.5000000      1.5274440
     12.7500000      1.5579929
     13.0000000      1.5859377
     13.2500000      1.6185597
     13.5000000      1.6485578
     13.7500000      1.6757815
     14.0000000      1.6995194
     14.2500000      1.7487080
     14.5000000      1.7991387
     14.7500000      1.8502506
     15.0000000      1.9014424
     15.2500000      1.9655149
     15.5000000      2.0318911
     15.7500000      2.1000001
     16.0000000      2.1705132
     16.2500000      2.2467449
     16.5000000      2.3242786
     16.7500000      2.4031150
     17.0000000      2.4832532
     17.2500000      2.5612383
     17.5000000      2.6397235
     17.7500000      2.7193911
     18.0000000      2.7980773
     18.2500000      2.8683796
     18.5000000      2.9380612
     18.7500000      3.0078127
     19.0000000      3.0776045
     19.2500000      3.1350665
     19.5000000      3.1914062
     19.7500000      3.2473562
     20.0000000      3.3028848
     20.8799992      3.4816735
     25.6399994      4.3555131
     31.4799995      5.1180224
     38.6599998      5.3854504
     47.4799995      4.8355036
     58.3100014      3.7845438
     71.6100006      2.5863953
     87.9400024      1.5357791
    108.0000000      0.8359616
    132.6000061      0.4365813
    162.8999939      0.2094988
    200.0000000      0.1028045
    204.3000031      0.0956019
    303.8999939      0.0246919
    452.0000000      0.0063182
    672.2999878      0.0016126
   1000.0000000      0.0002667
