# norm   tau_V= 2.75
      0.0100000      0.0000450
      0.0150000      0.0000749
      0.0220000      0.0001328
      0.0330000      0.0002574
      0.0490000      0.0004986
      0.0730000      0.0007870
      0.1000000      0.0010966
      0.1230000      0.0012108
      0.1510000      0.0014501
      0.1850000      0.0019678
      0.2270000      0.0032440
      0.2790000      0.0039391
      0.3430000      0.0040566
      0.4210000      0.0041712
      0.5170000      0.0048883
      0.5500000      0.0052819
      0.6350000      0.0063195
      0.7800000      0.0084375
      0.9580000      0.0106624
      1.1770000      0.0143447
      1.4450001      0.0232786
      1.7740000      0.0426656
      2.1789999      0.0739603
      2.6760001      0.1128938
      3.2860000      0.1577175
      4.0359998      0.2131189
      4.9559999      0.2871144
      6.0000000      0.3713942
      6.2500000      0.3928786
      6.5000000      0.4158855
      6.7500000      0.4397236
      7.0000000      0.4607773
      7.2500000      0.4952424
      7.5000000      0.5324519
      7.7500000      0.5706931
      8.0000000      0.6134616
      8.2500000      0.6851863
      8.5000000      0.7539664
      8.6000004      0.7810978
      8.6999998      0.8086538
      8.8000002      0.8359296
      8.8999996      0.8636138
      9.0000000      0.8913462
      9.1000004      0.9209377
      9.1999998      0.9498557
      9.3000002      0.9780650
      9.3999996      1.0055288
      9.5000000      1.0325922
      9.6000004      1.0530770
      9.6999998      1.0729849
      9.8000002      1.0915065
      9.8999996      1.1101803
     10.0000000      1.1286057
     10.1000004      1.1443430
     10.1999998      1.1601682
     10.3000002      1.1760818
     10.3999996      1.1916667
     10.5000000      1.2064904
     10.6000004      1.2218029
     10.6999998      1.2367589
     10.8000002      1.2517788
     10.8999996      1.2668631
     11.0000000      1.2815707
     11.1000004      1.2950003
     11.1999998      1.3084615
     11.3000002      1.3219552
     11.3999996      1.3386780
     11.5000000      1.3564104
     11.7500000      1.3797778
     12.0000000      1.4115384
     12.2500000      1.4433994
     12.5000000      1.4738582
     12.7500000      1.5028247
     13.0000000      1.5286460
     13.2500000      1.5591047
     13.5000000      1.5874400
     13.7500000      1.6129810
     14.0000000      1.6350162
     14.2500000      1.6819111
     14.5000000      1.7305889
     14.7500000      1.7793369
     15.0000000      1.8281250
     15.2500000      1.8897537
     15.5000000      1.9536459
     15.7500000      2.0198619
     16.0000000      2.0878210
     16.2500000      2.1614585
     16.5000000      2.2363582
     16.7500000      2.3131912
     17.0000000      2.3906250
     17.2500000      2.4665570
     17.5000000      2.5429688
     17.7500000      2.6198318
     18.0000000      2.6963944
     18.2500000      2.7638221
     18.5000000      2.8313305
     18.7500000      2.8981371
     19.0000000      2.9657056
     19.2500000      3.0201526
     19.5000000      3.0734377
     19.7500000      3.1270835
     20.0000000      3.1794872
     20.8799992      3.3478270
     25.6399994      4.1582823
     31.4799995      4.8443379
     38.6599998      5.0493436
     47.4799995      4.4911971
     58.3100014      3.4901900
     71.6100006      2.3812623
     87.9400024      1.4128182
    108.0000000      0.7662982
    132.6000061      0.3999250
    162.8999939      0.1924648
    200.0000000      0.0946314
    204.3000031      0.0880716
    303.8999939      0.0227925
    452.0000000      0.0058202
    672.2999878      0.0014822
   1000.0000000      0.0002303
